Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
kontext,ziel,biologisch,bewerten,übertragung,beispiel,anforderungsbereich,lernende,modell,gestalten
fachmethode,transfer,transfer,afb,inhalt,geeignet,sachverhalte,transfer,privat,ler
verwend,römer,analyse,politisch,methode,bedeutung,sachverhalt,auseinander,zusammenhang,unterricht
darstellen,arbeiten,problem,kriterium,lernen,übertragung,zusammenhang,herausforderung,transfer,transfer
handlung,region,vergleich,transfer,wirtschaftlich,lösung,transfer,bezogen,anwendung,wichtig
entwickeln,leben,bekannt,operator,insbesondere,problemlösung,reorganisation,kompetenzbereiche,biologisch,sinnvoll
reflektieren,kompetenz,erkenntnisgewinnung,sozial,nervensystem,information,material,nutzen,fach,landwirtschaft
stoff,staat,fragestellung,gerecht,signal,ausgewählt,darstellen,zielen,darstellung,lernaufgabe
umgang,vertiefung,anwendung,prinzip,synaptisch,nutzung,operator,beziehungsweise,übertragung,genetik
ler,kulturell,frage,reproduktion,chemisch,erläutern,aspekt,gesellschaftlich,basiskonzept,kommunikation
verfahrensweise,dimension,ordn,einzeln,bekannt,kritisch,verwendung,beispiel,aufgabe,material
transfer,anwendung,methodenkompetenz,herausforderung,verbindlich,sachgerecht,erschließen,persönlich,datum,entsprechend
kenntnis,geografisch,zusammenhang,bedeutung,sozial,verschieden,kompetenz,historisch,komplex,begriff
begründen,deutschland,anwenden,beschreiben,selbstständig,erschließen,wiedergeben,thema,arbeit,situation
anwenden,römisch,erkennen,übertragung,demokratisch,zusammenhang,beschreibe,lerninhalt,gehören,aufgabenstellung
vergleichbar,ebene,material,prozeß,unterschiedlich,darstellen,wesentliche,wis,bekannt,gelernt
undod,wissen,berücksichtigen,demokratisch,komplexität,verwendung,struktur,setzen,individuell,schaffen
routinemäßig,information,übertragung,vergleichend,umfasst,biomoleküle,wiedergabe,geeignet,anpassung,kriterium
revidier,lernen,unterricht,anforderungsbereiche,persönlich,funktion,präzise,beruflich,ablauf,gelingen
annehmen,erweitern,lösung,reorganisation,entwicklung,selbstständig,aufführ,fachbezogen,begründen,erläutern
