term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
ethik,635,0.0497,0.0137,0.0372,0.0151,0.0127,0.0056,0.0125,0.0001,0.0066,0.0141,0.0872,0.0091
ethisch,537,0.0409,0.0059,0.0106,0.011,0.0058,0.0044,0.0093,0.0438,0.0185,0.0005,0.0125,0.0037
handeln,523,0.0117,0.0003,0.0003,0.008,0.0001,0.0432,0.0515,0.0056,0.0346,0.0113,0.0062,0.0208
wert,511,0.0058,0.0014,0.0247,0.065,0.0062,0.0089,0.0071,0.0002,0.0034,0.0109,0.0001,0.0288
norm,509,0.0098,0.0066,0.021,0.0741,0.0164,0.0074,0.0094,0.0001,0.0042,0.0058,0.0001,0.0194
mensch,422,0.0164,0.0147,0.0056,0.0,0.0001,0.0001,0.0231,0.0002,0.0252,0.0108,0.0001,0.0354
frage,314,0.0002,0.089,0.0099,0.0134,0.0201,0.0012,0.0,0.0032,0.0,0.0,0.0001,0.0049
verantwortung,268,0.0003,0.0012,0.0001,0.0031,0.0064,0.0001,0.0,0.0001,0.0355,0.0137,0.0093,0.0213
ethischmoralisch,252,0.012,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0048,0.0278,0.0023,0.0075,0.0187
leben,251,0.0072,0.0,0.0004,0.0281,0.0001,0.0075,0.014,0.0,0.0024,0.0091,0.0063,0.0109
glück,237,0.0,0.0022,0.0001,0.0138,0.0001,0.0001,0.0,0.0,0.0,0.0623,0.0001,0.0055
urteil,214,0.0033,0.0,0.0,0.0073,0.0001,0.0125,0.0,0.0353,0.0041,0.0001,0.0001,0.0
handlung,207,0.0101,0.0073,0.0045,0.0055,0.0001,0.0002,0.0124,0.0098,0.0198,0.0,0.0001,0.0
gerechtigkeit,197,0.0,0.0114,0.007,0.0163,0.0001,0.0001,0.0,0.0,0.0033,0.0011,0.008,0.0172
gesellschaft,195,0.0036,0.0061,0.0026,0.0054,0.0001,0.0001,0.0,0.0021,0.0114,0.0082,0.0001,0.0182
verschieden,193,0.0029,0.0,0.0102,0.0,0.0107,0.0025,0.0,0.0134,0.0137,0.0083,0.0001,0.0027
freiheit,179,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0131,0.0,0.0082,0.0035,0.0025,0.0239
regel,171,0.0116,0.0005,0.0083,0.0129,0.0003,0.0001,0.0,0.0,0.0,0.0058,0.0001,0.0095
perspektive,161,0.0095,0.0008,0.0182,0.0087,0.0001,0.0009,0.0,0.0111,0.0,0.0007,0.0001,0.0
welt,159,0.0,0.0,0.0034,0.0,0.0001,0.0001,0.0,0.0,0.0039,0.0172,0.0001,0.0205
