Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
umweltfaktor,schuljahrgäng,individuum,notwendig,tier,funktion,merkmal,organismus,fitness,lebensraum
ökologisch,kompetenzentwicklung,variabilität,gymnasial,pflanze,struktur,kommunikation,entwicklung,reproduktiv,mensch
ökosystem,erziehung,führen,lernen,leben,basiskonzept,erkenntnisgewinnung,art,zusammenhang,ausgewählt
abiotisch,halle,osva,kurshalbjahr,jahreszeit,zusammenhang,deuten,umwelt,genpool,tier
biotisch,lehrplan,angepasst,gemeinsam,sonne,fotosynthese,tier,evolutionstheorie,widerstand,fortpflanzung
halle,kraft,genetisch,weltkrieg,lebensraum,pflanze,homolog,mensch,verschieden,entwicklung
nische,geschichte,selektion,inhaltlich,extrem,stoff,bestehen,variabilität,entwicklung,bau
fachlehrplan,magdeburg,ebene,widerstand,basiskonzept,verschieden,experiment,evolution,methode,funktion
licht,biologie,zeigen,gymnasium,faktor,lebewesen,lassen,entstehung,sozial,merkmal
mitwirken,übersicht,iva,gegebenenfalls,energieumwandlung,energieumwandlung,begründen,selektion,darstellung,wechselwirkung
insekt,sozialkund,organismus,nationalsozialismus,verschieden,variabilität,geographie,lebewesen,basis,ökosystem
konkurrenz,inhaltsverzeichnis,population,beruflich,lebewesen,organismus,produktion,wirbeltier,nationalsozialistisch,bedeutung
potenz,turmschanzenstr,veränderung,betreffen,bedingung,bau,planen,biodiversität,modell,vielfalt
temperatur,sachsenanhalt,evolutiv,kerncurricula,inhaltsfeld,grundlegend,zelle,fortpflanzung,veränderung,wasser
leitung,seite,molekular,änderung,unterschiedlich,stoffwechsel,lebensweise,wirbeltiere,unterschiedlich,sinnesorgane
gruppe,land,finden,abiturprüfungsfächer,abiotisch,reproduktion,identifizieren,stammesgeschichtlich,selbstständig,verhalten
rahmenlehrplan,kompetenzschwerpunkt,individuell,osterferi,jahresrhythmik,inhalt,sichtbar,mutation,biologie,nachhaltig
faktor,physik,zelle,vorherig,motor,zelle,konkret,darwin,gesellschaft,sinn
anforderungsniveau,lerngruppe,beruhen,anschlussfähigkeit,art,system,morphologisch,lebensraum,basiskonzept,nutzung
wirbellose,fachgruppe,genpool,enden,speicherstoffe,funktional,religionsunterricht,zusammenhang,leben,insekt
