document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,2,0.39452966725509403,"Gottesvorstellungen in polytheistischen und monotheistischen Religionen heraus. altägyptische, griechische, römische, germanische Gottheiten, Jahwe, Gott, Allah Göttergeschichten z. B. ägyptische, griechische, indische Mythologien naturreligiöse Schöpfungsgeschichten vergleichen Schöpfungsmythen und naturwissenschaftliche Darstellungen der Evolution des Menschen. Genesis und Evolutionslehre Schöpfungserzählungen als Glaubensaussagen, Wissenschaft als Deutungsansatz, Urknalltheorie vergleichen wesentliche Aspekte religiöser Praxis im Lebensalltag. Gotteshäuser, heilige Orte, Feste und Feiern, Zeiten und Symbole, Rituale, Bräuche,",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
1,3,0.9769220121371025,"des Islam, Achtfacher Pfad, Konfuzianismus etc. setzen sich mit grundlegenden Aspekten religiöser und weltanschaulicher Menschenund Weltbilder auseinander. Mensch als Ebenbild Gottes, Mensch als Teil der Schöpfung, Mensch als Produkt der Evolution, humanistisches Menschenbild, Mensch als Bedürfnis- und Triebwesen Welt als Schöpfung, Weltbilder in Mythen ptolemäisches vs. kopernikanisches Weltbild Welt als Produkt des Zufalls ... Grundbegriffe: Ethik, Initiationsritus, Menschenbild, Weltanschauung, Weltbild Schuljahrgänge",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
2,7,0.7257001321888034,"aller Zeiten festgelegt waren, hatten wir offenbar nie wirklich die Wahl, deshalb sind wir weder verantwortlich für unsere Taten noch verdienen wir Lob oder Tadel für sie. Im Laufe der Evolution bestand der entscheidende Schritt auf dem Weg zur willentlichen Verhaltenssteuerung darin, dass einige Lebewesen die Fähigkeit entwickelten, ihr Verhalten an der inneren Vorstellung zukünftiger Zustände auszurichten. Es sind insbesondere zwei",,,,2006.0,"Ethik, Philo"
3,7,0.7384702834537895,"Kausalität in der gesamten Welt und somit auch bei menschlichen Entscheidungen aus, womit dem Menschen dann auch keine Verantwortung für seine Handlungen zukäme. Die Entwicklung willentlichen Handelns im Laufe der Evolution gründet auf der Fähigkeit zur Antizipation. Dazu gehören die gedankliche Vorwegnahme von Handlungsfolgen und von Bedürfnislagen sowie die entsprechende Anpassung des Verhaltens. Da aber aktuelle Bedürfnisse häufig in Konkurrenz zu",,,,2006.0,"Ethik, Philo"
4,3,0.6334488752590222,"Arbeit mit Bildern und Gedichten Empathie und Perspektivwechsel Sich positionieren zu zentralen Unterscheidungen Mensch und Tier Abgrenzung des Menschen vom Tier in natürlicher Gestalt, Beschaffenheit, Erkenntniskraft, Sprache und Denken biologische, evolutionäre Anthropologie und Hirnforschung Prometheusmythos Mensch als Mängelwesen Begriffsanalyse: Instinkt, Verhalten, Handlung Natur und Kultur menschliche Entwicklung in ihrer Abhängigkeit von Natur und Gesellschaft Bedeutung gesellschaftlicher Strukturen und Institutionen Mensch als",Sachsen,Gym,,2019.0,"Ethik, Philo"
5,2,0.9666622048161351,"das eigene Leben auseinandersetzen zum Beispiel hinsichtlich Sicherheit, Selbstbeschränkung, Identitäten, Konventionen, Gerechtigkeit BTV Selbstfindung und Akzeptanz anderer Lebensformen Analysieren und interpretieren , , Moralphilosophie Angewandte Ethik Religion und Religionskritik BIO Evolution und Ökologie Freiheit und Anthropologie Die Schülerinnen und Schüler können Aspekte philosophischer Anthropologie darstellen und im Kontext von Freiheit diskutieren. Sie können die Funktion von Erziehung, Bildung und Sozialisation kritisch",BaWü,Gym,,2016.0,"Ethik, Philo"
6,2,0.6842977617815897,"bezogen auf Vernunft, Freiheit, Aufklärung anhand von Beispielen aus der Lebenswelt beschreiben und sich damit auseinandersetzen BTV Selbstfindung und Akzeptanz anderer Lebensformen Argumentieren und reflektieren , , Moralphilosophie Verantwortungsethik BIO Evolution und Ökologie Gerechtigkeit, Recht und Zusammenleben Grundlagen des Zusammenlebens Die Schülerinnen und Schüler können Grundlagen des Zusammenlebens in einer pluralistischen Gesellschaft darstellen. Sie können ethisch-moralische Konflikte in einer pluralistischen Gesellschaft",BaWü,Gym,,2016.0,"Ethik, Philo"
7,2,0.9639977741752856,"begründen VB Chancen und Risiken der Lebensführung Analysieren und interpretieren , , , , , , Beurteilen und sich entscheiden , , , , , Freiheit und Naturalismus Moralphilosophie BIO Evolution und Ökologie D Medien GEO Globale Herausforderungen WI Fallstudie Moral, Religion und Kritik Grundlagen philosophischer Ethik Die Schülerinnen und Schüler können Aufgaben von Ethik in einer pluralistischen Gesellschaft benennen und",BaWü,Gym,,2016.0,"Ethik, Philo"
8,2,0.9427753885303962,"den Stellenwert von Freiheit in gesellschaftlichen Kontroversen zum Beispiel in Kulturen, Medien, Medizin, Religion, Wirtschaft herausarbeiten und diskutieren Analysieren und interpretieren , , Moralphilosophie Angewandte Ethik Religion und Religionskritik BIO Evolution und Ökologie Freiheit und Anthropologie Die Schülerinnen und Schüler können Aspekte philosophischer Anthropologie darstellen und im Kontext von Freiheit diskutieren. Sie können unterschiedliche Zugänge zum Menschen und zur Welt vergleichen",BaWü,Gym,,2016.0,"Ethik, Philo"
9,2,0.6664216651149528,"erarbeiten und sich damit auseinandersetzen zum Beispiel bezogen auf Selbstoptimierung, Beschleunigung, Rationalisierung BTV Selbstfindung und Akzeptanz anderer Lebensformen Argumentieren und reflektieren , , Gerechtigkeit und globalisierte Welt Moralphilosophie Verantwortungsethik BIO Evolution und Ökologie Freiheit und digitale Welt Die Schülerinnen und Schüler können die digitale Welt in Grundzügen beschreiben und ethische Probleme der Digitalisierung erfassen und reflektiert darlegen. Sie können Freiheit und",BaWü,Gym,,2016.0,"Ethik, Philo"
