Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
situation,vernunft,bedürfnis,beschreiben,kultur,gedanke,beschreiben
beschreiben,sozial,interesse,mensch,liebe,beschreiben,möglichkeit
mensch,bedürfnis,erkennen,moralisch,freundschaft,verändern,situation
perspektive,gesellschaftlich,sozial,person,sexualität,brainstorming,perspektive
klassengemeinschaft,leben,reflektieren,perspektive,bedeutung,mindmap,folge
kompetenzerwartungen,mensch,aspekt,unterschiedlich,einfach,auslösen,armut
unterscheid,lernende,kompetenz,stellen,handlung,dauer,verschieden
kontrollieren,frage,grenze,frage,leben,situation,erläutern
ethik,unterschiedlich,sehen,position,insbesondere,umgang,wohlstand
bestimmen,ethisch,individualität,relevant,darstellung,differenzieren,unterscheid
denkanstöße,handeln,selbstwahrnehmung,situation,mensch,formulier,form
beherrschen,wert,personal,positiv,lernende,male,regel
bestimmt,nehmen,erfassen,vorurteil,fähigkeit,betracht,bestimmt
geschlecht,ethik,dimension,dar,verschieden,sammel,bewerten
denken,bedeutung,potenzial,geschichte,erleben,qualität,wahrnehmung
unbestimmt,vorstellung,wirklichkeit,mithilfe,grundlegend,häufigkeit,tier
klassenstuf,sozialkompetenz,verantwortlich,gruppe,verwend,intensität,ethisch
verschieden,reflektieren,kompetenzbereiche,urteilskompetenz,kritisch,situationsabhängigkeit,umgang
welt,individuell,fähigkeit,fremd,quelle,angenehme,kompetenz
körperhaltung,individualität,überfachlich,bedürfnis,orientierung,zusammenhang,reaktion
