,text_excerpt,state,school type,grade,year,subject,doc_id
7339,"achten auf ihre Fähigkeiten, Gefühle und Bedürfnisse; sie steuern und reflektieren ihre Arbeitsprozesse von ihren kognitiven und psychischen Voraussetzungen her Eigenmotivation, Konzentrationsbereitschaft. Sozialkompetenz Soziale Wahrnehmungsfähigkeit: Die Lernenden nehmen unterschiedliche Bedürfnisse, Emotionen, Überzeugungen sowie Interpretationen sozialer Realität in Beziehungen Partner, Gruppen, größere Gemeinschaften, Gesellschaften wahr. Sie versetzen sich in die Lage anderer Empathie, Perspektivenübernahme, erfassen und reflektieren den Stellenwert ihres eigenen Handelns.",Hessen,Gym,Sek1,2021,Geschichte,7339
7340,Gestaltgesetze Gz Biologische Signale Pb Gedächtnis und Denken Speicherung und Verarbeitung von Informationen Kg Bewusstes und Unbe- Bewusste und nicht bewusste Informationsverarbeitung Kg wusstes Schichtenmodell des Bewusstseins Tf Motivation und Emotion Kognitive Prozesse bei Motivation und Emotion Kg Unbewusste Prozesse bei Motivation und Emotion Tf Sozialpsychologie Soziale Kognition Einstellungs- und Attributionsprozesse Kg Personenwahrnehmung und sozial bedingte Wahrnehmung Gz Interaktion und Kom-,,,,2006,"Psychologie, Gesundheit",7340
7341,"achten auf ihre Fähigkeiten, Gefühle und Bedürfnisse; sie steuern und reflektieren ihre Arbeitsprozesse von ihren kognitiven und psychischen Voraussetzungen her Eigenmotivation, Konzentrationsbereitschaft. Sozialkompetenz Soziale Wahrnehmungsfähigkeit: Die Lernenden nehmen unterschiedliche Bedürfnisse, Emotionen, Überzeugungen sowie Interpretationen sozialer Realität in Beziehungen Partner, Gruppen, größere Gemeinschaften, Gesellschaften wahr. Sie versetzen sich in die Lage anderer Empathie, Perspektivenübernahme, erfassen und reflektieren den Stellenwert ihres eigenen Handelns.",Hessen,Realschule.pdf,,,Sozialkunde,7341
7342,"achten auf ihre Fähigkeiten, Gefühle und Bedürfnisse; sie steuern und reflektieren ihre Arbeitsprozesse von ihren kognitiven und psychischen Voraussetzungen her Eigenmotivation, Konzentrationsbereitschaft. Sozialkompetenz Soziale Wahrnehmungsfähigkeit: Die Lernenden nehmen unterschiedliche Bedürfnisse, Emotionen, Überzeugungen sowie Interpretationen sozialer Realität in Beziehungen Partner, Gruppen, größere Gemeinschaften, Gesellschaften wahr. Sie versetzen sich in die Lage anderer Empathie, Perspektivenübernahme, erfassen und reflektieren den Stellenwert ihres eigenen Handelns.",Hessen,Realschule,,2021,Geschichte,7342
7343,"recherchieren und diskutieren sowie unter Nutzung verschiedener Medien präsentieren Grundlegende Wissensbestände - Merkmale, Determinanten der Entwicklung und Entwicklungsprozesse - Entwicklung eines psychischen Prozesses auf verschiedenen Altersstufen z. B. Denken, Wahrnehmung, Emotion, Motivation - Merkmale und Entwicklungsaufgaben des Jugendalters Havighurst, Dreher Dreher, Hurrelmann - Theorien des klassischen und operanten Konditionierens und daraus abgeleitete Beeinflussungs- und Therapiemöglichkeiten aus behavioristischer Sicht - Sozial-kognitive Theorie",Sachsen-Anhalt,Gym,,2024,"Psychologie, Gesundheit",7343
7344,"mit sehr viel Neugier. Sie haben viele Fragen, sie können sich an dem Besonderen, Außergewöhnlichen begeistern und bringen viel Phantasie mit. Dieser Schwung soll nicht gebremst, sondern produktiv aufgenommen werden. Emotionen, Imagination und Kreativität stehen der Entwicklung eines kritischen Geschichtsbewusstseins nicht im Weg, sondern sind wirkungsvolle Mittel, sich die Geschichte auf vielfältige und altersgemäße Weise zu erschließen. Gleiches gilt für den",BaWü,Gym,,2016,Geschichte,7344
7345,"und Geschicklichkeitsspiele Spielregeln als Grundlage für das Funktionieren eines Spiels Bedeutsamkeit von Regeln für das Zusammenleben: z. B. Sicherheit, Ordnung, Handlungsrahmen ethische Kriterien beim Spielen: angemessener Umgang mit den eigenen Emotionen bei Sieg und Niederlage, Regelbeachtung und Fairplay Spiele aus aller Welt bzw. unterschiedlichen Kulturkreisen, z. B. Kalaha, Boule, Backgammon historische und kulturelle Wurzeln sowie Bedeutung von Spielen, z. B. die",Bayern,Realschule,,2023,Bio,7345
7346,"Gesundheit, diese äußern. Dazu gehören emotionale Kompetenzen: den eigenen emotionalen Zustand erkennen, adressaten- und situationsadäquat ausdrücken können und damit umgehen; aversive oder belastende Emotionen bewältigen Emotionsregulation; emotionale Selbstwirksamkeit; empathisch auf Emotionen anderer eingehen, anderen vertrauen. Motivation/Lernbereitschaft: sich auf etwas einlassen; für eine Sache fiebern; sich motiviert fühlen und andere motivieren; von epistemischer Neugier geleitete Fragen formulieren; sich vertiefen, etwas herausbekommen, einer",Hessen,Gym,Sek2,2024,Sozialkunde,7346
7347,"sensibel sein für eigene Körperlichkeit und psychische Gesundheit, diese äußern. Dazu gehören emotionale Kompetenzen: den eigenen emotionalen Zustand erkennen, adressaten- und situationsadäquat ausdrücken können und damit umgehen; aversive oder belastende Emotionen bewältigen Emotionsregulation; emotionale Selbstwirksamkeit; empathisch auf Emotionen anderer eingehen, anderen vertrauen. Motivation/Lernbereitschaft: sich auf etwas einlassen; für eine Sache fiebern; sich motiviert fühlen und andere motivieren; von epistemischer Neugier geleitete",Hessen,Gym,Sek2,2024,Sozialkunde,7347
7348,"Gesundheit, diese äußern. Dazu gehören emotionale Kompetenzen: den eigenen emotionalen Zustand erkennen, adressaten- und situationsadäquat ausdrücken können und damit umgehen; aversive oder belastende Emotionen bewältigen Emotionsregulation; emotionale Selbstwirksamkeit; empathisch auf Emotionen anderer eingehen, anderen vertrauen. Motivation/Lernbereitschaft: sich auf etwas einlassen; für eine Sache fiebern; sich motiviert fühlen und andere motivieren; von epistemischer Neugier geleitete Fragen formulieren; sich vertiefen, etwas herausbekommen, einer",Hessen,Gym,Sek2,2024,Sozialkunde,7348
7349,"achten auf ihre Fähigkeiten, Gefühle und Bedürfnisse; sie steuern und reflektieren ihre Arbeitsprozesse von ihren kognitiven und psychischen Voraussetzungen her Eigenmotivation, Konzentrationsbereitschaft. Sozialkompetenz Soziale Wahrnehmungsfähigkeit: Die Lernenden nehmen unterschiedliche Bedürfnisse, Emotionen, Überzeugungen sowie Interpretationen sozialer Realität in Beziehungen Partner, Gruppen, größere Gemeinschaften, Gesellschaften wahr. Sie versetzen sich in die Lage anderer Empathie, Perspektivenübernahme, erfassen und reflektieren den Stellenwert ihres eigenen Handelns.",Hessen,Hauptschule.pdf,,,Sozialkunde,7349
7350,"fach-sprachlich angemessen selbst erstellte Arbeitsergebnisse zu einer politischen Frage- oder Problemstellung MK . Urteilskompetenz Die Schülerinnen und Schüler beschreiben in Ansätzen das Handeln von Personen und Gruppen unter Berücksichtigung von Emotionen, Motiven und Interessen UK , ermitteln anhand von Argumenten unterschiedliche Positionen UK , beurteilen und überprüfen in Ansätzen Argumente auf ihre Stichhaltigkeit UK , formulieren in Ansätzen ein eigenes begründetes",NRW,Hauptschule,,2022,Sozialkunde,7350
7351,"/ Sek. I - SR Unterschiedliche Faktoren beeinflussen das Blutkreislaufsystem und die äußere Atmung. nennen und beschreiben Faktoren, die Blutkreislauf und äußere Atmung beeinflussen. Belastung durch: körperliche Aktivität Temperatur Gesundheitszustand Emotionen Sek. I - SR Unterschiedliche Belastungszustände des Organismus beeinflussen den Sauerstoffbedarf. erklären den Zusammenhang zwischen Belastungszuständen und Sauerstoffbedarf. Belastungszustände führen zu einem erhöhten Energiebedarf. Organe benötigen Sauerstoff zur Bereitstellung von",Schleswig-Holstein,,Sek1,2019,Bio,7351
7352,"sensibel sein für eigene Körperlichkeit und psychische Gesundheit, diese äußern. Dazu gehören emotionale Kompetenzen: den eigenen emotionalen Zustand erkennen, adressaten- und situationsadäquat ausdrücken können und damit umgehen; aversive oder belastende Emotionen bewältigen Emotionsregulation; emotionale Selbstwirksamkeit; empathisch auf Emotionen anderer eingehen, anderen vertrauen. Motivation/Lernbereitschaft: sich auf etwas einlassen; für eine Sache fiebern; sich motiviert fühlen und andere motivieren; von epistemischer Neugier geleitete",Hessen,Gym,Sek2,2024,Sozialkunde,7352
7353,"achten auf ihre Fähigkeiten, Gefühle und Bedürfnisse; sie steuern und reflektieren ihre Arbeitsprozesse von ihren kognitiven und psychischen Voraussetzungen her Eigenmotivation, Konzentrationsbereitschaft. Sozialkompetenz Soziale Wahrnehmungsfähigkeit: Die Lernenden nehmen unterschiedliche Bedürfnisse, Emotionen, Überzeugungen sowie Interpretationen sozialer Realität in Beziehungen Partner, Gruppen, größere Gemeinschaften, Gesellschaften wahr. Sie versetzen sich in die Lage anderer Empathie, Perspektivenübernahme, erfassen und reflektieren den Stellenwert ihres eigenen Handelns.",Hessen,Hauptschule,,2024,Bio,7353
7354,"Grundlage der eigenen Entscheidungen und Handlungen wird nicht nur erfahrungsgeleitetes und logisches Denken und das Abwägen von Konsequenzen bewusst gemacht, sondern auch der Einfluss von Bedürfnissen sowie bewussten wie unbewussten Emotionen. Der Unterricht entspricht dem neueren Verständnis des Zusammenwirkens von kognitiven und affektiven Prozessen. Vgl. Schulgesetz für das Land Berlin , Absatz : ... Ziel des Ethikunterrichts ist es, die Bereitschaft",Berlin,,7-10,2015,"Ethik, Philo",7354
7355,"Kompetenzen: Wahrnehmen und deuten als die Kompetenz, auf der Grundlage von Sinnes- und Sinnerfahrungen Sachverhalte unter ethischer Perspektive wahrzunehmen, zu bezeichnen und einzuordnen. Dazu gehört die Fähigkeit, zu den eigenen Emotionen, Bedürfnissen und Interessen in Distanz zu treten, das Wahrgenommene aus dieser Distanz heraus zu beschreiben und vorgegebene Muster und Vorurteile zu bemerken. Hinzu kommt das Erfassen unterschiedlicher Interessen und Motive",Berlin,,7-10,2015,"Ethik, Philo",7355
7356,"prüfen innere Einflüsse auf das Denken, beschreiben und prüfen äußere Einflüsse auf das Denken, bestimmen davon ausgehend die Bedeutung des Begriffes Selbst-Denken, Rollenspiel: Mr. Spock sein in selbst entworfenen durch Emotionen bestimmte Situationen Gefühle zähmen: Gefühle mitteilen IchBotschaft, Mitfühlen, Das Eisen schmieden, wenn es kalt ist auf dem Prüfstand: Essgewohnheiten, gewohnter Tagesablauf, Lerngewohnheiten Angst-Check: Vorurteile durch Fakten ersetzen Gewissen als bedrängende",Saarland,Gym,"7,8",2018,"Ethik, Philo",7356
