document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,3,0.7680979569652201,"und Guten in Christentum und Judentum und stellen einen Bezug zum eigenen Leben her. Inhalte zu den Kompetenzen: Gemeinsamkeiten von Judentum und Christentum: die Heiligen Schriften als Offenbarung Gottes; Schöpfungsgeschichte Gen - , auch im Vergleich mit Urknall- und Evolutionstheorie; Gebote Ex , - Selbstverständnis des Judentums: Abrams Landzuweisung Gen ; Gottes Bund mit Abram Gen ; Heiligung des Sabbat Ex",Bayern,Gym,6,,"Ethik, Philo"
1,3,0.9265641818144272,"von Judentum und Christentum: die Heiligen Schriften als Offenbarung Gottes; Schöpfungsgeschichte Gen - , auch im Vergleich mit Urknall- und Evolutionstheorie; Gebote Ex , - Selbstverständnis des Judentums: Abrams Landzuweisung Gen ; Gottes Bund mit Abram Gen ; Heiligung des Sabbat Ex , - zentrale Glaubensinhalte des Christentums: Bergpredigt Mt , - und - , Mt , , Mt , -",Bayern,Gym,6,,"Ethik, Philo"
2,3,0.9265641818144272,"Schriften als Offenbarung Gottes; Schöpfungsgeschichte Gen - , auch im Vergleich mit Urknall- und Evolutionstheorie; Gebote Ex , - Selbstverständnis des Judentums: Abrams Landzuweisung Gen ; Gottes Bund mit Abram Gen ; Heiligung des Sabbat Ex , - zentrale Glaubensinhalte des Christentums: Bergpredigt Mt , - und - , Mt , , Mt , - und ; Doppelgebot Mk , -",Bayern,Gym,6,,"Ethik, Philo"
3,5,0.8541431644639995,"AFB II Vom Begriff der Prothese ausgehend lässt sich das Problem der stets nur unvollkommenen Beherrschung der technischen Hilfsmittel anschließen. Allwissenheits - und Allmachtsvorstellungen können in Bezug zu Möglichkeiten der Gen - Forschung gesetzt werden und zu den Gefährdungen der menschlichen Gattung u.a. Jonas. Als ethisch relevante Konsequenzen sind beispielsweise aufzuzeigen die Ambivalenz der Wirkungen von Kultur, Wissenschaft und Technik, die",,,,2006.0,"Ethik, Philo"
4,2,0.592686400099935,"auf die Entwicklung personaler Identität Selbstsein und derselbe sein das Prinzip des Dialogischen kognitive Entwicklung Lebenszyklen interpersonale Erfahrungen Begriffsanalyse: Person Gedankenexperiment Mehrperspektivität Sich positionieren zur Frage nach der eigenen Identität Gene, biometrische Daten, Geschlecht, Erziehung, Bildung, Sprache, Religion, Weltanschauung, Gesellschaft Podiumsdiskussion selbstständiges Texterschließen Essay schreiben Werteorientierung Bildung für nachhaltige Entwicklung Lernbereich : Schönheit - Kunst - Erfahrung Ustd. Sich positionieren zur",Sachsen,Gym,,2019.0,"Ethik, Philo"
5,5,0.9367948607772256,"und erörtern BTV Selbstfindung und Akzeptanz anderer Lebensformen PG Körper und Hygiene Wahrnehmen und sich hineinversetzen , , , , , Argumentieren und reflektieren , , Glück und Moral BIO Genetik Arbeit und Selbstbestimmung Die Schülerinnen und Schüler können Arbeit in ihren unterschiedlichen Formen für das Leben der und des Einzelnen erfassen und erläutern. Sie können die Arbeitswelt unter Bezugnahme auf",BaWü,Gym,,2016.0,"Ethik, Philo"
6,5,0.9706554991756225,"Ethik Ziele und Interessen der Beteiligten und Betroffenen herausarbeiten, vergleichen und erläutern zum Beispiel Energieversorgung, Arbeitserleichterung, Gesundheit, Information, Fortschritt, Wachstum in Problemfällen der Angewandten Ethik zum Beispiel Klimawandel, Digitalisierung, Entfremdung, Genetik, Selbstoptimierung die den verschiedenen Interessen und Zielen zugrundeliegenden Werte herausarbeiten und benennen im Kontext der Angewandten Ethik relevante Werte im Hinblick auf ihren ethisch-moralischen Gehalt untersuchen, vergleichen und bewerten zum",BaWü,Gym,,2016.0,"Ethik, Philo"
7,5,0.9646170036283351,"und Betroffenen herausarbeiten, vergleichen und erläutern zum Beispiel Energieversorgung, Arbeitserleichterung, Gesundheit, Information, Fortschritt Die Schülerinnen und Schüler können in Problemfällen der Angewandten Ethik zum Beispiel bezogen auf Klimawandel, Digitalisierung, Entfremdung, Genetik, Selbstoptimierung die den verschiedenen Interessen und Zielen zugrundeliegenden Werte herausarbeiten und zuordnen instrumentelle, moralische, eudaimonistische Werte im Kontext der Angewandten Ethik relevante Werte im Hinblick auf ihren ethisch-moralischen Gehalt untersuchen,",BaWü,Gym,,2016.0,"Ethik, Philo"
8,5,0.4339565761286814,"Pfarrgemeinde evangelische Kirchen: Landeskirche, Kirchgemeinde orthodoxe Kirchen Freikirchen regionale Bezüge herstellen GE, Kl. , LB Kennen des christlichen Menschenbildes Mensch als Geschöpf Gottes mit einmaligem Wert erster und zweiter Schöpfungsbericht Gen -; Mensch als Gestalter der Welt Schöpfungsauftrag Freiheit und Verantwortung der Menschen Schuld, Vergebung, Wiedergutmachung und Neubeginn Sündenfall, Brudermord, Turmbau zu Babel Gen ; ; Kreuzestod Jesu als Erlösung des",Sachsen,Oberschule,,2019.0,"Ethik, Philo"
9,5,0.4645229378205127,"mit einmaligem Wert erster und zweiter Schöpfungsbericht Gen -; Mensch als Gestalter der Welt Schöpfungsauftrag Freiheit und Verantwortung der Menschen Schuld, Vergebung, Wiedergutmachung und Neubeginn Sündenfall, Brudermord, Turmbau zu Babel Gen ; ; Kreuzestod Jesu als Erlösung des Menschen Nächstenliebe und Vergebungsbereitschaft Mt ,f. Werteorientierung Lernbereich : Globalisierung - Armut und Reichtum Ustd. Kennen globaler und regionaler Probleme der Verteilung Relativität",Sachsen,Oberschule,,2019.0,"Ethik, Philo"
