term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
norm,1229,0.0141,0.0306,0.0187,0.0363,0.0005
handeln,413,0.0052,0.005,0.0001,0.02,0.0
gesellschaftlich,405,0.0027,0.0027,0.0203,0.0043,0.0002
reflektieren,390,0.0011,0.0023,0.0133,0.0089,0.0018
mensch,374,0.0063,0.0,0.0038,0.012,0.0034
ethisch,366,0.002,0.0051,0.0077,0.0116,0.0
leben,336,0.0156,0.0054,0.0008,0.0068,0.0014
moralisch,331,0.0019,0.0,0.0,0.0179,0.0
verschieden,304,0.001,0.0033,0.0017,0.0067,0.01
beschreiben,297,0.0017,0.0044,0.001,0.0036,0.0134
ethik,295,0.007,0.0031,0.0,0.0115,0.0
fach,284,0.0066,0.0117,0.0081,0.0011,0.0
unterschiedlich,281,0.0029,0.0,0.0047,0.0049,0.0075
kompetenz,272,0.007,0.0,0.0026,0.0079,0.002
bedeutung,272,0.0036,0.0016,0.0029,0.0085,0.0034
beurteilen,272,0.0,0.0,0.0067,0.002,0.01
gesellschaft,272,0.008,0.0001,0.0085,0.004,0.0
politisch,256,0.0045,0.0,0.0163,0.0006,0.0
entscheidung,254,0.0,0.0,0.0173,0.0,0.0
sozial,249,0.0053,0.0055,0.0088,0.0029,0.0
beitrag,238,0.0033,0.0019,0.0,0.0119,0.0
grundlage,237,0.0018,0.0,0.0112,0.0028,0.0008
bezug,232,0.0048,0.0018,0.0072,0.0024,0.0019
gerechtigkeit,230,0.0018,0.0001,0.0007,0.0122,0.0
welt,229,0.0114,0.0,0.0008,0.0055,0.0
unterricht,226,0.0045,0.0147,0.0062,0.0004,0.0
entwicklung,218,0.0067,0.0,0.0065,0.0014,0.0025
werten,215,0.0,0.0,0.0,0.0,0.0161
diskutieren,211,0.0017,0.0063,0.0009,0.0062,0.003
erkennen,209,0.0016,0.0,0.008,0.0039,0.0009
erläutern,208,0.0,0.0055,0.0001,0.0055,0.0062
frage,202,0.0,0.0126,0.0026,0.0054,0.0005
analysieren,201,0.0,0.0,0.0034,0.0024,0.0082
regel,190,0.0018,0.0,0.0,0.0101,0.0001
perspektive,185,0.0001,0.0018,0.0078,0.0025,0.0013
demokratisch,183,0.0054,0.0005,0.009,0.0005,0.0
freiheit,181,0.003,0.0,0.0031,0.006,0.0
umgang,177,0.0001,0.0016,0.0043,0.0061,0.0004
religion,173,0.0058,0.0115,0.0028,0.0001,0.0
zusammenhang,170,0.0,0.0,0.0021,0.0039,0.0057
biologisch,168,0.0,0.0,0.0028,0.0,0.0091
relevant,167,0.0,0.0,0.007,0.0015,0.0027
aspekt,167,0.0,0.0,0.0072,0.0025,0.0013
leitperspektive,167,0.0003,0.0,0.0001,0.0101,0.0
aussage,164,0.0,0.0,0.0,0.0012,0.0105
verantwortung,163,0.0014,0.0014,0.0003,0.0082,0.0
historisch,162,0.0,0.0,0.0094,0.0015,0.0
experiment,159,0.0,0.0,0.0,0.0,0.0114
information,158,0.0,0.0,0.0003,0.0003,0.0109
thema,153,0.0081,0.0,0.0024,0.0023,0.0
auseinandersetzung,149,0.0,0.0095,0.0027,0.0037,0.0
erklären,146,0.0,0.0,0.0003,0.0033,0.0065
persönlich,145,0.0022,0.0,0.0078,0.0001,0.0
folge,144,0.0002,0.0,0.0078,0.0002,0.0017
geschichte,142,0.0086,0.0004,0.0035,0.0,0.0
datum,140,0.0,0.0,0.0,0.0,0.0102
toleranz,138,0.0016,0.0073,0.0001,0.0049,0.0
sachverhalt,131,0.0,0.0,0.0017,0.0,0.0075
lernen,131,0.0087,0.0071,0.0,0.0002,0.0
normativ,119,0.0,0.0,0.0,0.0011,0.0072
quelle,118,0.0003,0.0,0.001,0.0,0.0072
sachverhalte,115,0.0,0.0,0.0018,0.0,0.0064
kultur,113,0.0099,0.0024,0.0,0.0002,0.0
stellen,111,0.0,0.0079,0.0003,0.0004,0.0046
treffen,111,0.0,0.0,0.0075,0.0,0.0
führen,109,0.0,0.0,0.0015,0.0,0.0064
demokratie,105,0.0092,0.0,0.0016,0.0,0.0
ergebnis,95,0.0,0.0015,0.0,0.0007,0.0057
erschließen,94,0.0,0.0,0.0,0.0062,0.0
deutsch,84,0.007,0.0,0.0009,0.0,0.0
religionsunterricht,83,0.0083,0.0,0.0,0.0,0.0
fördern,80,0.0022,0.0096,0.0,0.0004,0.0
jugendliche,74,0.0063,0.0,0.0,0.0006,0.0
orientierung,74,0.0014,0.0081,0.0,0.0013,0.0
tragen,71,0.0,0.0073,0.0021,0.0,0.0
deutschland,68,0.0069,0.0,0.0004,0.0,0.0
insbesondere,65,0.0006,0.0069,0.0006,0.001,0.0
unterrichtsfach,63,0.0,0.0091,0.0,0.0007,0.0
ermöglichen,61,0.0011,0.007,0.0,0.001,0.0
frieden,60,0.0059,0.0,0.0,0.0,0.0
art,58,0.0,0.0074,0.0,0.0,0.0016
philosophie,56,0.0,0.0096,0.0,0.0002,0.0
individuum,47,0.0,0.0069,0.0008,0.0,0.0
leiten,43,0.0,0.0065,0.0006,0.0001,0.0
eigenständig,35,0.0,0.0087,0.0,0.0,0.0
