Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
politisch,wert,wert,regel,iii,wert,wert,wert,wert,wert
gesellschaftlich,gesellschaftlich,fach,wert,bewerten,handeln,ethik,moralisch,fach,historisch
ökonomisch,beschreiben,bildung,verschieden,kriterium,moralisch,frage,kompetenz,unterricht,unterricht
wertvorstellung,entscheidung,beitrag,frage,beurteilen,mensch,form,technisch,religiös,fördern
wert,analysieren,aufgabe,zusammenleben,sachverhalt,ethisch,art,möglich,kompetenz,werturteil
diskussion,argument,bne,familie,formulieren,reflektieren,unterricht,gesetz,lernen,sinn
sozial,ethisch,leisten,religion,nehmen,leben,philosophie,erläutern,gesellschaft,reflektiert
wirtschaftlich,begründen,verbindlich,bestimmt,berücksichtigung,ethik,moralisch,inhaltsbezogen,religion,gegenwärtig
historisch,verschieden,entwicklung,ritual,stellung,gesellschaft,ethisch,methodischdidaktisch,kulturell,fachspezifisch
geschichte,reflektieren,handeln,kerncurriculum,möglichkeit,gerechtigkeit,system,funktion,lernende,tragen
aufbauend,beurteilen,ziel,bedeutung,grund,welt,rechtlich,einzeln,aufgabe,handeln
liegen,entwicklung,schuljahrgänge,sicherheit,wobei,thema,sozial,unterscheiden,verlangen,sachurteil
frage,europäisch,toleranz,vergleichen,deutsch,umgang,erklären,ethik,wertvorstellung,sowohl
prägen,aspekt,sozial,welt,international,grundlage,begriff,bereich,gewinnen,hinaus
häufig,erkennen,gesellschaftlich,einschränkung,material,bedeutung,fragestellung,fall,demokratisch,überzeugung
lebenspraxis,werturteil,entscheidungssituation,klasse,beurteilung,verantwortung,dar,handeln,ethisch,gesellschaftswissenschaftlich
vielstimmig,entscheidungssituation,wichtig,kompetenz,mithilfe,menschenrecht,reflexion,lüge,verständnis,demokratie
konsens,relevant,auseinandersetzung,verlässlichkeit,persönlich,pflicht,insbesondere,miteinander,gelten,verstehen
rechnung,unterschiedlich,nachhaltig,religiös,wandel,gewissen,aspekt,rechtlich,weltanschaulich,differenziert
veränderung,entwickeln,unterricht,beteiligen,begründet,konflikt,stellen,beziehungsweise,kompetenzentwicklung,kriterium
