term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
politisch,789,0.0255,0.0007,0.0,0.0,0.0
mensch,789,0.0047,0.0027,0.0129,0.0126,0.0056
sozial,701,0.0138,0.0026,0.0,0.006,0.0052
verantwortung,659,0.0005,0.0019,0.0044,0.0251,0.0
wirtschaftlich,600,0.0204,0.0,0.0,0.0,0.0
gesellschaftlich,594,0.0101,0.001,0.0,0.0083,0.0086
ethisch,588,0.0004,0.006,0.01,0.0023,0.0147
entwicklung,574,0.0139,0.0047,0.0,0.0001,0.0
leben,546,0.0023,0.0033,0.01,0.0056,0.0071
wert,517,0.0006,0.0022,0.0225,0.003,0.0001
entscheidung,511,0.0027,0.0126,0.0,0.0071,0.0042
entwickeln,490,0.0009,0.0163,0.0,0.0055,0.0018
ökonomisch,489,0.0163,0.0,0.0,0.0,0.0
welt,466,0.0053,0.0,0.0085,0.0078,0.0022
frage,466,0.0006,0.0058,0.0021,0.0088,0.0068
gesellschaft,447,0.0057,0.0,0.006,0.0066,0.0023
bedeutung,446,0.0059,0.0012,0.0017,0.007,0.0047
ethik,445,0.0,0.0018,0.0203,0.0005,0.0014
moralisch,435,0.0,0.0018,0.0177,0.0008,0.0036
denken,432,0.0047,0.0092,0.002,0.0011,0.0026
menschlich,414,0.0055,0.0005,0.0056,0.0007,0.007
norm,414,0.0014,0.0018,0.0184,0.0001,0.0
historisch,404,0.0112,0.0002,0.0007,0.0,0.0
nachhaltig,389,0.0117,0.0,0.0,0.0,0.0
folge,379,0.0035,0.0013,0.0043,0.0005,0.0112
fähigkeit,359,0.0,0.0145,0.0025,0.0025,0.0
möglichkeit,358,0.0069,0.0,0.001,0.0055,0.0011
lernen,334,0.0021,0.0124,0.0,0.0009,0.0025
motiv,333,0.0,0.0,0.0023,0.0,0.0209
freiheit,328,0.0,0.0,0.0024,0.0134,0.0
situation,326,0.0,0.0038,0.0014,0.0004,0.0152
ziel,321,0.0043,0.0062,0.0,0.0021,0.0
wissen,309,0.0006,0.0069,0.0032,0.004,0.0
kontext,306,0.0013,0.0026,0.0007,0.0013,0.012
begründen,292,0.0002,0.0078,0.0018,0.0042,0.0
inhalt,283,0.0071,0.0004,0.0,0.001,0.0033
konflikt,282,0.0,0.0,0.0011,0.0132,0.0
verantwortlich,273,0.0018,0.0057,0.0013,0.003,0.0
prozeß,270,0.0062,0.0002,0.0,0.0033,0.0
urteil,262,0.0,0.0098,0.0,0.0,0.003
individuell,262,0.0062,0.0,0.0,0.0022,0.0031
natur,262,0.0006,0.0,0.0092,0.0038,0.0
umgang,245,0.0011,0.0,0.0022,0.0081,0.0013
regel,235,0.0019,0.0015,0.0042,0.0001,0.0066
politik,232,0.0072,0.0,0.0,0.0017,0.0
medium,229,0.0013,0.0,0.0,0.0111,0.0
akteur,227,0.007,0.0,0.0001,0.0,0.0
interesse,227,0.0057,0.0,0.0005,0.0018,0.0
gerechtigkeit,226,0.0004,0.0,0.0062,0.0049,0.0
kulturell,221,0.0011,0.0,0.0034,0.0,0.0094
relevanz,206,0.0,0.0,0.0,0.0,0.0147
relevant,202,0.0,0.0004,0.0027,0.0001,0.0106
zentral,196,0.0,0.0016,0.0015,0.0058,0.0018
wirtschaft,190,0.0069,0.0,0.0,0.0,0.0
begriff,189,0.0,0.0,0.0029,0.0,0.0101
aufgabe,187,0.002,0.0,0.0072,0.0,0.0
bereich,184,0.0016,0.0067,0.0,0.0,0.0
voraussetzung,177,0.0,0.006,0.0,0.0009,0.0023
bne,177,0.0023,0.0,0.0068,0.0001,0.0
wertvorstellung,173,0.0,0.0019,0.0,0.0,0.0095
rechtlich,167,0.0055,0.0,0.0004,0.0,0.0
person,162,0.001,0.0011,0.0,0.0,0.0076
staat,159,0.0021,0.0,0.0054,0.0,0.0
argument,157,0.0,0.0026,0.0,0.0,0.0073
kommunikation,153,0.0,0.0,0.0093,0.0,0.0
fördern,152,0.0006,0.0058,0.0,0.0,0.0
naturwissenschaftlich,147,0.0,0.0066,0.0,0.0,0.0004
gegenwart,142,0.0,0.0058,0.0009,0.0,0.0
übernehmen,140,0.0,0.0,0.0011,0.0062,0.0
jugendliche,139,0.0,0.0007,0.0061,0.0002,0.0013
klassenstuf,139,0.0,0.0,0.0004,0.0,0.0098
bedürfnis,138,0.0,0.0,0.0,0.0069,0.0
pflicht,135,0.0,0.0,0.0077,0.0,0.0
treffen,135,0.0,0.0079,0.0,0.0,0.0
medial,135,0.0,0.0,0.0,0.0082,0.0
vertreten,129,0.0,0.0076,0.0,0.0,0.0
menschenrecht,127,0.0,0.0,0.0059,0.0017,0.0001
berücksichtigung,125,0.0,0.0,0.0,0.0063,0.0
inhaltsfelder,122,0.0,0.0,0.0,0.0062,0.0
methode,120,0.0005,0.005,0.0,0.0,0.0
glück,111,0.0,0.0,0.0061,0.0,0.0
dar,103,0.0,0.0,0.0,0.0061,0.0
