term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
ethik,635,0.049,0.0149,0.0029,0.0091,0.0057,0.0046,0.0359
ethisch,537,0.0316,0.0231,0.0277,0.0061,0.0105,0.003,0.0095
handeln,523,0.0072,0.0151,0.0003,0.0109,0.0275,0.0151,0.0362
wert,511,0.0054,0.0001,0.0067,0.0411,0.0,0.0279,0.0244
norm,509,0.0063,0.0042,0.0022,0.0415,0.0,0.0414,0.016
mensch,422,0.0047,0.0086,0.0005,0.0001,0.0047,0.0,0.0624
frage,314,0.0133,0.0215,0.0021,0.0064,0.0209,0.0026,0.0
verantwortung,268,0.003,0.0003,0.0036,0.0051,0.0159,0.0002,0.0271
ethischmoralisch,252,0.0199,0.0001,0.0028,0.008,0.0,0.0024,0.0136
leben,251,0.0143,0.0035,0.0002,0.0099,0.0054,0.0081,0.01
glück,237,0.0001,0.0026,0.0386,0.0012,0.0034,0.0019,0.0064
urteil,214,0.0034,0.0122,0.0232,0.0047,0.0033,0.0,0.0
handlung,207,0.0026,0.0222,0.0,0.0054,0.0051,0.0045,0.004
gerechtigkeit,197,0.0019,0.0004,0.0049,0.0245,0.0,0.0,0.0046
gesellschaft,195,0.0091,0.0073,0.0006,0.0115,0.0,0.0002,0.0077
verschieden,193,0.0041,0.0074,0.0098,0.0101,0.0006,0.0089,0.0
freiheit,179,0.0016,0.0,0.0001,0.0105,0.0074,0.0,0.0147
regel,171,0.0,0.0027,0.0043,0.0012,0.0016,0.0382,0.0
perspektive,161,0.0088,0.0097,0.0049,0.0078,0.0,0.0,0.001
welt,159,0.0,0.0003,0.0019,0.0019,0.0,0.0,0.0257
begriff,157,0.008,0.0011,0.0008,0.008,0.0044,0.0001,0.0087
natur,156,0.0026,0.0,0.0,0.0,0.0024,0.0,0.0244
relevant,152,0.0095,0.0107,0.0025,0.0,0.0023,0.002,0.0035
prinzip,149,0.0,0.0269,0.0,0.0,0.0,0.0035,0.0
argumentieren,140,0.0013,0.0,0.0192,0.0,0.0,0.0038,0.0063
bedeutung,138,0.0018,0.0,0.0,0.0191,0.0,0.0037,0.0014
position,137,0.0009,0.0108,0.0071,0.0051,0.0,0.0053,0.0
konflikt,134,0.0,0.002,0.0119,0.0095,0.0,0.0049,0.0005
begründen,129,0.004,0.0108,0.0086,0.0032,0.0,0.0001,0.0
problem,127,0.0075,0.0045,0.0011,0.0066,0.0,0.0035,0.0019
entwickeln,119,0.0,0.016,0.0,0.0057,0.0,0.0,0.0017
