term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
ethik,635,0.0438,0.0075,0.0251,0.0088,0.016
ethisch,537,0.0308,0.0279,0.0079,0.0032,0.0022
handeln,523,0.0092,0.0159,0.0058,0.0195,0.031
wert,511,0.0121,0.0001,0.0136,0.0476,0.0008
norm,509,0.0123,0.0031,0.0082,0.0483,0.0001
mensch,422,0.007,0.0102,0.019,0.0025,0.0386
frage,314,0.0084,0.016,0.003,0.0021,0.0176
verantwortung,268,0.0018,0.009,0.0108,0.0071,0.0158
ethischmoralisch,252,0.0189,0.002,0.0049,0.0056,0.0061
leben,251,0.0129,0.003,0.0135,0.0048,0.0075
glück,237,0.0,0.002,0.048,0.0001,0.0018
urteil,214,0.0022,0.0196,0.0023,0.0021,0.0
handlung,207,0.0101,0.0132,0.0,0.0026,0.0
gerechtigkeit,197,0.0017,0.0003,0.0063,0.0203,0.0
gesellschaft,195,0.0055,0.0012,0.0086,0.0129,0.0023
verschieden,193,0.0079,0.007,0.0062,0.0054,0.0003
freiheit,179,0.0018,0.001,0.0024,0.0191,0.0001
regel,171,0.0019,0.0025,0.0134,0.0087,0.0016
perspektive,161,0.0101,0.0058,0.001,0.0049,0.0002
welt,159,0.0,0.0015,0.0106,0.0086,0.0073
begriff,157,0.0115,0.0002,0.0001,0.0068,0.0053
natur,156,0.0024,0.0,0.0137,0.0,0.0165
relevant,152,0.0101,0.0051,0.0034,0.0,0.0036
prinzip,149,0.0001,0.0164,0.0,0.0,0.0
argumentieren,140,0.0025,0.0053,0.0147,0.0004,0.0005
bedeutung,138,0.0033,0.0,0.0009,0.0137,0.001
position,137,0.0036,0.0108,0.0,0.0016,0.0
konflikt,134,0.0,0.0039,0.0016,0.0112,0.0015
begründen,129,0.0036,0.01,0.0001,0.0021,0.0
entwickeln,119,0.0022,0.01,0.0,0.0021,0.0003
zusammenleben,115,0.0,0.0,0.0025,0.0126,0.0014
religion,114,0.0,0.0001,0.0205,0.0023,0.0
argumentation,109,0.0011,0.0108,0.0,0.0,0.0003
religiös,108,0.0,0.0061,0.001,0.0054,0.0018
wahrnehmen,108,0.0023,0.0006,0.0095,0.0046,0.0015
ethikunterricht,105,0.0116,0.0012,0.0018,0.0,0.0
gewissen,102,0.0009,0.0005,0.0001,0.0065,0.0093
sozial,93,0.0025,0.0001,0.0001,0.0046,0.0097
normativ,89,0.0069,0.0049,0.0,0.0,0.0
toleranz,84,0.0,0.0,0.0015,0.0067,0.0049
fragestellung,83,0.0083,0.0011,0.0016,0.001,0.0
medium,79,0.0,0.0,0.0105,0.0028,0.0022
entwicklung,79,0.0021,0.0023,0.0,0.0004,0.0088
funktion,77,0.0036,0.0,0.0,0.0071,0.0
umgang,76,0.0,0.0,0.0047,0.0022,0.0082
wirklichkeit,76,0.0,0.0017,0.0017,0.0018,0.0088
praktisch,75,0.0074,0.0022,0.0,0.0,0.0001
lernen,74,0.0099,0.0,0.0006,0.0,0.0
folge,72,0.0,0.0071,0.0001,0.0,0.0015
verantwortlich,71,0.0,0.0081,0.0,0.0,0.0
hinblick,70,0.0,0.007,0.0006,0.0008,0.0001
wahrheit,69,0.0008,0.0,0.0,0.0,0.0135
pflicht,68,0.0,0.0,0.0,0.0092,0.0
denken,66,0.0,0.0077,0.0,0.0,0.0
rolle,64,0.0007,0.0,0.0,0.0,0.0131
allgemein,63,0.0032,0.0,0.01,0.0,0.0
menschenrecht,63,0.0,0.0,0.0,0.0066,0.0029
kontext,61,0.0067,0.0,0.0,0.002,0.0
rechtlich,60,0.0,0.0,0.0001,0.0084,0.0001
tier,59,0.0008,0.0003,0.001,0.0,0.01
motiv,58,0.0,0.0021,0.0,0.0,0.0087
begründet,57,0.0,0.0064,0.0,0.0,0.0
umwelt,57,0.0,0.0,0.0092,0.0,0.0036
weltanschauung,56,0.0,0.0,0.0119,0.0,0.0
lüge,44,0.0,0.0,0.0,0.0,0.0094
identität,43,0.0,0.0,0.0,0.0,0.0097
diskussion,41,0.0001,0.0,0.0,0.0,0.0091
liebe,37,0.0,0.0,0.0,0.0,0.0078
darstellung,36,0.0,0.0,0.0087,0.0,0.0
