Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
angepasstheit,anpassung,anpassung,umweltfaktor,angepasstheit,angepasstheit,angepasstheit
erläutern,evolutionstheorie,angepasstheit,anpassung,beschreiben,tier,variabilität
zusammenhang,notwendig,fitness,angepasstheit,organismus,lebensraum,organismus
beschreiben,gymnasial,reproduktiv,licht,funktion,pflanze,selektion
ökologisch,widerstand,veränderung,halle,entwicklung,leben,basiskonzept
anpassung,darwin,genpool,ökologisch,mensch,basiskonzept,erklären
fotosynthese,entstehung,individuum,temperatur,erklären,lebewesen,angepasst
verschieden,evolution,führen,fortpflanzung,umwelt,jahreszeit,genetisch
fach,lernen,art,fachlehrplan,erläutern,entwicklung,ebene
abiotisch,art,inhalt,ökosystem,fortpflanzung,mensch,osva
kompetenz,bildung,population,bildung,struktur,sonne,funktion
grundlegend,nationalsozialismus,unterschiedlich,mitwirken,vergleich,lebewe,lebewesen
grundlage,synthetisch,unterricht,bne,zusammenhang,vielfalt,umwelt
umweltfaktor,lernende,vorliegend,bedeutung,ausgewählt,funktion,evolutiv
ökosystem,kurshalbjahr,erklären,kommunikation,bau,extrem,struktur
stoffwechsel,beleg,lehrplan,digital,wirbeltier,ökosystem,individuum
bildung,weltkrieg,rahmenlehrplan,art,lebensraum,system,evolution
schuljahrgäng,gemeinsam,qphase,entwicklung,lebewesen,faktor,erklärung
insekt,bezug,artbegriff,beispiel,darstellen,verschieden,entwicklung
faktor,nationalsozialistisch,artbildung,leitung,verschieden,bewegung,zelle
