term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
sozial,512,0.0093,0.0,0.0053,0.0037,0.0541,0.0028,0.0042
freiheit,309,0.013,0.0,0.0003,0.0268,0.0063,0.005,0.0
wert,295,0.0095,0.0039,0.0403,0.0083,0.0004,0.0094,0.0007
handeln,287,0.0123,0.0162,0.0069,0.0126,0.0004,0.0123,0.0
gesellschaft,279,0.0059,0.0001,0.0,0.0112,0.019,0.0014,0.0065
verantwortung,276,0.0194,0.0,0.0148,0.0179,0.0003,0.0,0.0
frage,232,0.0076,0.0052,0.0032,0.0143,0.0077,0.0001,0.0025
ethik,219,0.005,0.0023,0.0,0.022,0.0,0.0,0.0092
politisch,214,0.0191,0.0092,0.0,0.0,0.0152,0.0001,0.0
leben,205,0.009,0.0029,0.0112,0.008,0.0025,0.0039,0.0049
verschieden,198,0.0092,0.0036,0.0142,0.0102,0.0002,0.0,0.0048
mensch,194,0.0081,0.0,0.0032,0.0214,0.0001,0.0,0.0
unterschiedlich,193,0.0126,0.0036,0.0,0.0,0.0048,0.0107,0.0105
bedeutung,177,0.0124,0.0,0.0051,0.0056,0.0042,0.0064,0.0027
gesellschaftlich,170,0.0,0.0018,0.0007,0.0044,0.0174,0.0,0.0
welt,169,0.0,0.014,0.0004,0.0139,0.0012,0.0,0.0027
zusammenleben,159,0.0019,0.0007,0.0061,0.0152,0.0028,0.0003,0.0
konflikt,151,0.0,0.0137,0.0043,0.0074,0.0043,0.0,0.0
medium,148,0.0,0.0312,0.0015,0.0032,0.0,0.0,0.0
norm,148,0.0021,0.0047,0.0184,0.0043,0.0015,0.0043,0.0008
menschenrecht,147,0.0007,0.0,0.0056,0.0086,0.0011,0.0148,0.0026
entwicklung,128,0.0047,0.005,0.0029,0.0035,0.0071,0.0,0.0001
form,126,0.0044,0.0014,0.0,0.0008,0.0024,0.0031,0.0157
problem,124,0.0,0.0005,0.0045,0.0075,0.0076,0.0,0.0
möglichkeit,118,0.0073,0.0137,0.0,0.0,0.0034,0.0,0.0
begriff,117,0.0016,0.0005,0.012,0.0071,0.0,0.0,0.0047
prinzip,112,0.0,0.0,0.0032,0.0002,0.002,0.0072,0.0147
perspektive,110,0.0,0.0209,0.0025,0.0014,0.0,0.0032,0.0
regel,105,0.0,0.0,0.0215,0.0,0.0012,0.0047,0.0
inhalt,103,0.0,0.0,0.0036,0.0013,0.0111,0.0005,0.0
umgang,103,0.0057,0.0001,0.0023,0.0049,0.0016,0.0076,0.0
ethisch,103,0.0101,0.0,0.0051,0.0027,0.0,0.0,0.0036
einzeln,101,0.0,0.0049,0.0047,0.0016,0.0016,0.0114,0.0
moral,99,0.0,0.0019,0.0,0.0111,0.0,0.0,0.0041
beitrag,97,0.0012,0.0,0.0109,0.0052,0.0033,0.0,0.0
natur,97,0.0028,0.0041,0.0,0.01,0.0,0.0,0.0
politik,96,0.0014,0.0054,0.0004,0.0001,0.0095,0.0,0.0
hinblick,96,0.0041,0.0001,0.0053,0.0,0.0,0.0153,0.0
leistung,95,0.0,0.0,0.0,0.0,0.0,0.0105,0.0145
