Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
lernende,kompetenz,entwicklung,fachübergreifend,mensch,politisch,lernkompetenz,fach,unterricht,digital
hilfe,unterricht,wirtschaft,fähigkeit,medium,geschichte,medium,kompetenz,niveaustufen,welt
reflektieren,ziel,bildung,bezug,kennen,kennen,nutzen,unterricht,jahrgangsstufe,information
erfolgen,individuell,kompetenz,inhalt,möglichkeit,gesellschaft,fähigkeit,inhalt,jahrgangsstuf,leben
förderschwerpunkt,wissen,leben,entwickeln,kritisch,bildung,inhalt,beitrag,lernende,methode
leistung,grundlage,nachhaltig,kompetenz,handeln,demokratie,selbstständig,stellen,jung,entwickeln
erreicht,fördern,sozial,sprachbildung,erkennen,historisch,gehören,didaktisch,psychologie,naturwissenschaftlich
unterstützung,medium,struktur,umsetzungshilfen,frage,thema,umgang,grundsatz,niveaustuf,wissen
sonderpädagogisch,erwerb,bewussen,fachbezoge,verstehen,beruf,vielfältig,standard,lerne,fähigkeit
grundsätzlich,lassen,global,leitperspektiven,umgang,politik,thema,bildung,jugendliche,erkenntnis
unterricht,unterschiedlich,lebenslang,meinung,verhalten,kultur,stehen,biologie,ergebnis,theorie
individuell,erreichen,deutschland,handeln,historisch,phänomen,funktion,beruflich,sinn,entwicklung
angemessen,lernende,umwelt,entscheidung,gesellschaftlich,lernbereich,verstehen,leitperspektive,präsentieren,führen
entwicklung,fach,reflektier,einstellung,unterschiedlich,ökonomisch,durchführen,gymnasial,sonderpädagogisch,analyse
übernehmen,anforderung,kontext,globale,leben,gesellschaftlich,wissen,gesellschaftswissenschaftlich,förderschwerpunkt,unterschiedlich
geben,klassenstuf,entwickeln,treffen,sozial,zusammenhang,bedeutung,dar,erwachsene,bedeutung
konstruktiv,fachlich,ökonomisch,vertreten,konflikt,entwickeln,entwicklung,inhaltsverzeichnis,kompetenz,wissenschaftlich
lernprozess,bilden,wert,sozial,verschieden,deutsch,planen,bedeutung,lehre,nutzen
kompetenzbereiche,aufgabe,erkennen,wirksamkeit,menschlich,kenntnis,mittelpunkt,querschnittsaufgabe,vorbereitung,geprägt
rückmeldung,sinnvoll,auswirkung,beschreiben,entwicklung,europa,zusammenhang,gelten,rahmen,kennen
