term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
sozial,512,0.0,0.0002,0.0003,0.0247,0.0005,0.0003,0.0,0.0,0.0122,0.0,0.0023,0.0,0.0,0.0001,0.0,0.0105,0.0067,0.0834,0.0034,0.0104
freiheit,309,0.0039,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.005,0.0,0.0,0.0387,0.0,0.0049,0.0001,0.007,0.0119,0.0099,0.0,0.0284,0.0
wert,295,0.0032,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.036,0.002,0.0241,0.0,0.022,0.0239,0.0097,0.0,0.0001,0.0054,0.0061,0.0
handeln,287,0.0,0.0002,0.0091,0.0,0.0001,0.0159,0.0,0.0038,0.0267,0.0,0.0133,0.0,0.0067,0.0081,0.0,0.0,0.0054,0.0059,0.0271,0.0102
gesellschaft,279,0.0212,0.0002,0.0003,0.0417,0.0033,0.0001,0.0,0.0438,0.0,0.0,0.0042,0.0,0.0063,0.0001,0.0,0.0,0.0001,0.0181,0.0,0.0
verantwortung,276,0.015,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0035,0.0,0.0195,0.0279,0.0,0.0,0.0093,0.0175,0.0,0.0116,0.0,0.0166,0.0
frage,232,0.0,0.0002,0.0003,0.009,0.0098,0.0085,0.0073,0.0381,0.0035,0.0,0.0231,0.0,0.0005,0.0001,0.0,0.0,0.0059,0.0,0.0013,0.0082
ethik,219,0.006,0.0002,0.0003,0.0,0.0001,0.0001,0.0097,0.0,0.0388,0.0,0.0276,0.0,0.0,0.0037,0.0001,0.0,0.0001,0.0,0.0002,0.0
politisch,214,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0124,0.0001,0.0318,0.0,0.0247
leben,205,0.0001,0.0002,0.0304,0.0,0.0001,0.0001,0.01,0.0,0.0,0.0047,0.0153,0.0,0.0,0.0001,0.0276,0.0,0.0001,0.0039,0.0037,0.0145
verschieden,198,0.0217,0.0002,0.0003,0.0,0.0001,0.0001,0.0096,0.0,0.0008,0.0,0.0143,0.0,0.0058,0.0134,0.0183,0.0,0.0118,0.0012,0.0124,0.0
mensch,194,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0006,0.0338,0.022,0.0,0.0,0.0001,0.0068,0.0016,0.0001,0.0,0.0057,0.0
unterschiedlich,193,0.0062,0.0002,0.0003,0.0,0.0001,0.0001,0.0132,0.0,0.0035,0.0,0.0072,0.0067,0.0102,0.0293,0.0,0.0,0.0001,0.014,0.0,0.0043
bedeutung,177,0.0022,0.0002,0.0003,0.0,0.0001,0.013,0.0152,0.0,0.0,0.0001,0.0088,0.0,0.0143,0.0001,0.0189,0.0,0.0001,0.0054,0.0113,0.0
gesellschaftlich,170,0.0,0.0002,0.0003,0.0,0.0108,0.0001,0.0029,0.0,0.0,0.0,0.0042,0.0,0.0036,0.0001,0.0,0.0082,0.0001,0.024,0.0025,0.0
welt,169,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0138,0.0,0.0056,0.0,0.0,0.0001,0.0093,0.0,0.0001,0.0022,0.0265,0.0107
zusammenleben,159,0.0069,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0245,0.0,0.0,0.0071,0.0,0.0,0.0001,0.0137,0.0,0.0001,0.0,0.0248,0.0
konflikt,151,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0103,0.0,0.0001,0.0,0.0535,0.0
medium,148,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0066,0.0007,0.009,0.0,0.0029,0.0,0.0,0.0001,0.0,0.0178,0.0287
norm,148,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.022,0.0,0.0157,0.0,0.0105,0.0129,0.0,0.0,0.0001,0.0,0.0057,0.0
menschenrecht,147,0.0,0.0002,0.0003,0.0055,0.0001,0.0456,0.0,0.0123,0.0009,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0277,0.0019
entwicklung,128,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.005,0.0155,0.0019,0.0,0.0032,0.0001,0.0,0.0,0.0001,0.0117,0.0,0.0086
form,126,0.0068,0.0002,0.0003,0.0,0.0001,0.0001,0.0292,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0148,0.0192,0.0001,0.0032,0.0,0.0
problem,124,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0334,0.0,0.0028,0.0,0.0,0.0055,0.0001,0.0008,0.0,0.0113,0.0079,0.0048,0.0
möglichkeit,118,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0052,0.0,0.0,0.0019,0.0046,0.0,0.0234,0.0001,0.0,0.0,0.0001,0.0031,0.0106,0.0
begriff,117,0.0,0.0002,0.0003,0.0007,0.0001,0.0001,0.0,0.0028,0.0,0.0,0.0084,0.0,0.0061,0.0001,0.0,0.004,0.051,0.0,0.0,0.0
prinzip,112,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0045,0.0,0.0255,0.0001,0.0068,0.0037,0.0011
perspektive,110,0.0,0.0002,0.0049,0.0004,0.0001,0.0039,0.006,0.0468,0.0,0.0,0.0,0.0,0.0084,0.0001,0.0,0.0,0.0001,0.0,0.0,0.007
nachhaltig,109,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.012,0.0229,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0063,0.0,0.0065
regel,105,0.0173,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0001,0.0011,0.0,0.0001,0.0016,0.0053,0.0
ethisch,103,0.0001,0.0002,0.0189,0.0,0.0001,0.0001,0.0,0.0066,0.0036,0.0,0.0099,0.0,0.0,0.0001,0.0,0.0,0.0128,0.0012,0.0071,0.0
global,103,0.0,0.0002,0.0003,0.0,0.0001,0.0184,0.0,0.0154,0.0087,0.0107,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0067,0.0,0.0
inhalt,103,0.0,0.0002,0.01,0.024,0.0007,0.0001,0.0,0.0052,0.0,0.0032,0.0025,0.0,0.0066,0.0001,0.0,0.0071,0.0001,0.0032,0.0,0.0
umgang,103,0.0,0.0002,0.0003,0.0,0.0015,0.0118,0.0,0.0,0.0,0.0195,0.0,0.0046,0.0029,0.0001,0.0083,0.0,0.0001,0.0027,0.0085,0.0
einzeln,101,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0171,0.0086,0.0076,0.0103,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0
moral,99,0.0,0.0002,0.0003,0.002,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0158,0.0,0.0063,0.0001,0.0042,0.0,0.0001,0.0,0.0003,0.0
