document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,9,0.5652028212514265,"- Gerechtigkeit Sachkompetenz Die Schülerinnen und Schüler erläutern die Bedeutsamkeit von Gerechtigkeit für soziales Leben, formulieren Regeln für ein gerechtes Miteinander, erläutern unterschiedliche Prinzipien von Gerechtigkeit Gleichheit, Bedürfnis, Leistung, erläutern Verhalten und Handeln hinsichtlich der zugrundeliegenden Werte und möglicher Konsequenzen für sich selbst und für ein gerechtes Miteinander. Urteilskompetenz Die Schülerinnen und Schüler bewerten unterschiedliche Prinzipien von Gerechtigkeit, beurteilen Verhalten und",NRW,,Sek1,2024.0,"Ethik, Philo"
1,9,0.3206293342712874,"erläutern Verhalten und Handeln hinsichtlich der zugrundeliegenden Werte und möglicher Konsequenzen für sich selbst und für ein gerechtes Miteinander. Urteilskompetenz Die Schülerinnen und Schüler bewerten unterschiedliche Prinzipien von Gerechtigkeit, beurteilen Verhalten und Handlungen unter Berücksichtigung unterschiedlicher Gerechtigkeitsvorstellungen. Inhaltsfeld : Gegenwart und Zukunft Inhaltlicher Schwerpunkt: - Nachhaltiges Leben und Lernen Sachkompetenz Die Schülerinnen und Schüler erläutern die Bedeutung kritischen Denkens sowie der",NRW,,Sek1,2024.0,"Ethik, Philo"
2,12,0.49589170217368284,"Inhaltsfeld : Gegenwart und Zukunft Inhaltlicher Schwerpunkt: - Nachhaltiges Leben und Lernen Sachkompetenz Die Schülerinnen und Schüler erläutern die Bedeutung kritischen Denkens sowie der Verantwortungsübernahme für Lernprozesse, überprüfen ihr alltägliches Verhalten als Konsumentin und Konsument, beschreiben Möglichkeiten nachhaltigen Konsums, erläutern die Bedeutung von Teilhabe und Gemeinschaft für nachhaltiges Handeln. Urteilskompetenz Die Schülerinnen und Schüler erörtern die Bedeutung von Lernen, Wissen und",NRW,,Sek1,2024.0,"Ethik, Philo"
3,9,0.7545415115949428,"- Lebensgestaltung - Grenzerfahrungen Sachkompetenz Die Schülerinnen und Schüler beschreiben Träume, Sinnsuche und Glück in ihrer Bedeutung für das eigene Leben, vergleichen Konzepte der Lebensgestaltung u. a. Eudaimonie, Religiosität, beschreiben Verhalten und Handlungen mit Bezug auf unterschiedliche Lebensweisen und Weltanschauungen, stellen unterschiedliche Lebensentwürfe und verschiedene Möglichkeiten des Umgangs mit Grenzerfahrungen dar, erläutern Handlungen zugrundeliegende Werte im Kontext von Grenzerfahrungen, untersuchen das",NRW,,Sek1,2024.0,"Ethik, Philo"
4,12,0.6424241367287331,"z. B. in der Teamarbeit und im Mannschaftssport Gründe, weshalb jemand zum Außenseiter bzw. Einzelgänger werden kann z. B. Außenseiter in der Klasse, Obdachloser, Kranker, Behinderter; Konsequenzen für das eigene Verhalten Eth Lernbereich : Konsum und Freizeit ca. Std. Kompetenzerwartungen Die Schülerinnen und Schüler ... durchschauen und bewerten die Versuche der Einflussnahme von Seiten der Konsum- und Freizeitindustrie. erkennen den Einfluss",Bayern,Gym,6,,"Ethik, Philo"
5,6,0.6314980062031943,"Normen zugrunde liegen, heraus. z. B. Ehrlichkeit, Höflichkeit, Achtsamkeit, Geselligkeit vergleichen Regeln und Rituale in verschiedenen Kontexten. Schulregeln in verschiedenen kulturellen und historischen Kontexten Verhaltensregeln in verschiedenen Sportarten und Spielen Verhaltensweisen in religiösen Gemeinschaften erläutern die Goldene Regel und entwickeln Beispiele für ihre sinnvolle Anwendung. Goldene Regel im Sport, Vergleich zwischen positiver und negativer Formulierung der Goldenen Regel untersuchen Formen und",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
6,9,0.9733333199682956,"in unterschiedlichen sozialen Rollen. Gehorsam, Empathie, Pflicht, Loyalität, Respekt, Höflichkeit, Zuneigung, Liebe, Ausgrenzung, Akzeptanz, Toleranz, Verantwortung in den verschiedenen sozialen Kontexten soziale Rolle als Summe der von einer Person erwarteten Verhaltensweisen in jeweils spezifischen Situationen Schule, Sportverein, Familie etc. erklären individuelle Erwartungen an die Verwirklichung eines eigenen Ichs. z. B. Anspruch auf Freiheiten und Eigenständigkeit, Anerkennung in und außerhalb der Peer-Group,",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
7,12,0.7734396695706159,"ehrliche Sprache Sollen: Moralisches Handeln Werte und Normen Ethik / Wahrheit und Ehrlichkeit - Lüge inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise erklären die Folgen von Lügen, erklären Alternativen zu Lügen, beschreiben typisches Verhalten beim Lügen. Sammeln von Situationen, in denen gelogen wird; Klassifizieren der Fälle Untersuchen von Sprichwörtern Vorstellen von zehn Aussagen über sich neun wahre, eine gelogene - kann der Banknachbar bzw.",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
8,10,0.412988356480368,"Unterscheidungsmerkmalen Überlegen, in welchen Situationen ich Spaß habe, mich langweile oder an etwas interessiert bin Fotos der Schülerinnen und Schüler in Alltagssituationen anschauen und beschreiben Beobachten und Reflektieren des eigenen Verhaltens bei Gesellschaftsspielen oder sportlichen Spielen Partnerinterview zur Fremdeinschätzung Kriterien der Selbst- und Fremdeinschätzung z. B.: Pünktlichkeit, Fleiß, künstlerische Begabungen, technische Begabungen Sein: Ich Mensch sein Ethik / Wer bin ich",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
9,3,0.49536488032433795,"religiöse Orte, o ritueller Handlungen und Vorschriften, erklären den Zusammenhang der jeweiligen Religion mit ihren Festen. Interpretation der Erlebnisqualität und des Sinns von Ruhetagen, gemeinsamen rituellen Handlungen, traditionellen Festverläufen, rituellen Verhaltens- und Ernährungsvorschriften, religiösen Symbolen, gemeinsamem Gebet Plakat, Collage Sammeln und Vergleichen zentraler Glaubensaussagen Vergleich Handeln geführte Besichtigung einer Kirche, Moschee, Synagoge Besuch eines Gottesdienstes, eines religiösen Festes Sollen: Moralisches Handeln",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
