Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
gen,genetisch,genetisch,genetisch,genetik
genetisch,genetik,entwicklung,beschreiben,evolution
merkmal,verfahren,fortpflanzung,erklären,ebene
dna,mensch,evolutiv,bedeutung,genetisch
code,erläutern,basiskonzept,information,biologie
inhalt,gentechnik,selektion,variabilität,ökologie
information,bewerten,variation,funktion,vielfalt
protein,ethisch,führen,dna,leben
leben,grenze,individuell,erläutern,mensch
kompetenzerwartungen,gen,rekombination,vererbung,molekular
genetik,organismus,lebewesen,mutation,biodiversität
biologie,möglichkeit,grundlage,gen,zelle
regulation,gentechnisch,information,meiose,stoff
proteinbiosynthese,vererbung,ursache,struktur,entstehung
eukaryot,risiko,wichtig,replikation,grundlage
basisbegriffe,beratung,weitergabe,veränderung,lebewesen
genaktivität,grundlage,material,fortpflanzung,ökosystem
transkription,klassisch,system,merkmal,beschreiben
mutation,erkrankung,erhöhen,modell,ökologisch
verbindlich,bedingt,artwandel,chromosomen,themenfeld
