Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
leben,norm,gesellschaftlich,norm,werten
norm,unterricht,norm,handeln,beschreiben
welt,frage,entscheidung,moralisch,experiment
kultur,fach,politisch,gerechtigkeit,information
demokratie,religion,reflektieren,mensch,aussage
lernen,fördern,grundlage,beitrag,datum
geschichte,philosophie,historisch,ethisch,beurteilen
religionsunterricht,auseinandersetzung,demokratisch,ethik,verschieden
thema,unterrichtsfach,sozial,regel,biologisch
gesellschaft,eigenständig,gesellschaft,leitperspektive,analysieren
kompetenz,orientierung,fach,reflektieren,unterschiedlich
deutsch,stellen,erkennen,bedeutung,sachverhalt
ethik,art,folge,verantwortung,normativ
deutschland,toleranz,persönlich,kompetenz,quelle
entwicklung,tragen,perspektive,leben,erklären
fach,lernen,ethisch,verschieden,führen
jugendliche,ermöglichen,treffen,diskutieren,sachverhalte
mensch,insbesondere,aspekt,erschließen,erläutern
frieden,individuum,bezug,umgang,zusammenhang
religion,leiten,relevant,freiheit,ergebnis
