term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
ethik,635,0.0287,0.025,0.0133,0.0004,0.0161,0.0042,0.0592,0.0175,0.0305,0.003
ethisch,537,0.0256,0.0394,0.0155,0.0346,0.0099,0.0091,0.0,0.0054,0.0147,0.0013
handeln,523,0.0,0.0054,0.01,0.0006,0.0001,0.0188,0.0412,0.0367,0.0414,0.0148
wert,511,0.0093,0.0026,0.0089,0.0022,0.0001,0.0406,0.0563,0.0077,0.0074,0.0215
norm,509,0.008,0.0044,0.0062,0.0005,0.0001,0.0526,0.0638,0.0112,0.0079,0.0082
mensch,422,0.0,0.0197,0.0001,0.0,0.0001,0.0,0.0,0.0765,0.0173,0.0164
frage,314,0.0098,0.0311,0.0,0.0103,0.0413,0.0053,0.0,0.007,0.0,0.0
verantwortung,268,0.0009,0.0,0.0021,0.0003,0.0094,0.0,0.0,0.0078,0.0446,0.0215
ethischmoralisch,252,0.0275,0.0,0.0,0.0,0.0001,0.0023,0.0,0.0026,0.0199,0.0131
leben,251,0.0003,0.0031,0.025,0.0016,0.0036,0.0118,0.0,0.0151,0.0142,0.0032
glück,237,0.0,0.0001,0.0407,0.002,0.0035,0.0,0.0,0.0,0.0,0.0218
urteil,214,0.0072,0.0085,0.0178,0.0192,0.0001,0.0061,0.0,0.0037,0.0,0.0
handlung,207,0.0052,0.0184,0.0,0.0036,0.0001,0.0019,0.0068,0.0008,0.0268,0.0
gerechtigkeit,197,0.0,0.0,0.015,0.0016,0.0001,0.0038,0.0,0.0,0.0085,0.0257
gesellschaft,195,0.0121,0.0039,0.0,0.0059,0.0001,0.0065,0.0,0.0018,0.0048,0.0173
verschieden,193,0.007,0.0072,0.0088,0.0038,0.0094,0.0076,0.0,0.0061,0.0066,0.0016
freiheit,179,0.0,0.0045,0.0,0.0009,0.0001,0.0,0.0,0.0,0.0146,0.029
regel,171,0.0,0.0034,0.0049,0.0041,0.0029,0.0362,0.0,0.0,0.0,0.0001
perspektive,161,0.004,0.0137,0.0171,0.0061,0.0001,0.0,0.0016,0.0036,0.0004,0.0
welt,159,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0099,0.0119,0.0241
begriff,157,0.0067,0.0,0.0047,0.0032,0.0113,0.0107,0.0144,0.0,0.0,0.0022
natur,156,0.0001,0.0,0.0,0.0,0.0061,0.0,0.0,0.0435,0.0,0.0026
relevant,152,0.0082,0.0187,0.0009,0.0,0.0035,0.0021,0.0043,0.004,0.0006,0.0
prinzip,149,0.0,0.0351,0.0,0.0,0.0001,0.0036,0.0,0.0,0.0,0.0
argumentieren,140,0.005,0.0,0.009,0.0,0.0001,0.0006,0.0,0.0,0.0,0.0211
bedeutung,138,0.0023,0.0,0.0042,0.0102,0.0001,0.007,0.0019,0.0,0.0,0.0127
position,137,0.0026,0.0117,0.0001,0.0092,0.0001,0.0045,0.0,0.0094,0.0005,0.0013
konflikt,134,0.0,0.0024,0.0,0.017,0.016,0.0009,0.0,0.0,0.0,0.0092
begründen,129,0.0053,0.0066,0.0029,0.0131,0.0001,0.0041,0.0,0.0,0.0061,0.0
problem,127,0.0053,0.0017,0.0073,0.0041,0.0001,0.0116,0.0026,0.0035,0.0,0.0007
entwickeln,119,0.0,0.0117,0.0,0.0197,0.0001,0.0,0.0,0.0,0.0047,0.0
unterschiedlich,116,0.0,0.0,0.0,0.0157,0.0001,0.0025,0.0,0.0078,0.0072,0.0037
zusammenleben,115,0.0,0.0,0.0,0.0,0.003,0.0086,0.0,0.0,0.0043,0.0168
philosophisch,115,0.0095,0.0036,0.0,0.0096,0.0001,0.0017,0.0,0.0,0.0029,0.0033
religion,114,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0037,0.0255
argumentation,109,0.0,0.0274,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
situation,109,0.0041,0.0062,0.0037,0.0,0.0001,0.0021,0.0168,0.0,0.0,0.0
religiös,108,0.0,0.0021,0.0001,0.0176,0.0044,0.0,0.0,0.0,0.0,0.0089
wahrnehmen,108,0.0029,0.0,0.0,0.0,0.0049,0.0007,0.0,0.0,0.0,0.021
ethikunterricht,105,0.0168,0.0,0.0039,0.0,0.0001,0.0008,0.0,0.0,0.0042,0.0
auseinandersetzung,103,0.0013,0.0031,0.0096,0.0061,0.0043,0.0,0.0,0.0002,0.0083,0.0
gewissen,102,0.0,0.0016,0.0017,0.0,0.0001,0.0,0.0293,0.0,0.0018,0.0008
gesellschaftlich,100,0.0073,0.0,0.0,0.0035,0.0081,0.0011,0.0,0.0,0.0001,0.0105
zusammenhang,100,0.0086,0.0,0.0,0.0135,0.003,0.0,0.0,0.0,0.0,0.004
sozial,93,0.0016,0.0,0.0058,0.0,0.0155,0.0001,0.0078,0.0014,0.0011,0.0031
orientierung,91,0.0084,0.0054,0.0,0.003,0.0022,0.0,0.0,0.0058,0.0,0.0
vernunft,90,0.0,0.0125,0.0,0.0,0.0001,0.0019,0.0,0.0,0.0,0.0083
normativ,89,0.0064,0.0,0.0083,0.0,0.0001,0.0013,0.0,0.0108,0.0,0.0
toleranz,84,0.0,0.0,0.0,0.0,0.0001,0.0174,0.0,0.0072,0.0,0.0
untersuchen,84,0.0035,0.0011,0.0,0.0031,0.0001,0.0,0.0001,0.013,0.0018,0.0023
fragestellung,83,0.0165,0.0,0.0031,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
interpretieren,81,0.0,0.0,0.0,0.0022,0.0001,0.0028,0.0,0.0009,0.0,0.0154
entscheidung,80,0.0,0.005,0.0001,0.0036,0.0001,0.0,0.0,0.0,0.0177,0.0
möglichkeit,80,0.0,0.0081,0.0,0.0,0.0095,0.0028,0.0043,0.0,0.0017,0.0019
medium,79,0.0,0.0,0.0023,0.0027,0.0105,0.0,0.0,0.0081,0.0,0.0043
wertvorstellung,78,0.0,0.0,0.0,0.0155,0.0001,0.0084,0.0,0.0,0.0,0.0008
vorstellung,77,0.0,0.0003,0.0032,0.0,0.0001,0.0114,0.0,0.0054,0.0,0.0029
funktion,77,0.0017,0.0048,0.0,0.0,0.0001,0.0111,0.006,0.0,0.0,0.0
wirklichkeit,76,0.0,0.0026,0.0,0.0037,0.0143,0.0,0.0,0.0089,0.0,0.0
urteilsfähigkeit,75,0.0,0.002,0.0006,0.0183,0.0001,0.0,0.0,0.0,0.0025,0.0
praktisch,75,0.0097,0.0,0.0,0.0,0.0001,0.0,0.0,0.0028,0.0074,0.0
kritisch,72,0.0018,0.0,0.0094,0.0084,0.0001,0.0018,0.0,0.0,0.0,0.0
folge,72,0.0,0.0099,0.0005,0.0031,0.0001,0.0,0.0007,0.0,0.0066,0.0
inhaltsbezogen,71,0.0,0.0034,0.0007,0.0,0.0001,0.0007,0.0158,0.0,0.0027,0.0
verantwortlich,71,0.0009,0.0022,0.0,0.0016,0.0001,0.0,0.0,0.0185,0.0,0.0
erörtern,71,0.0,0.0097,0.0,0.0015,0.0001,0.0007,0.0,0.0,0.0008,0.0057
hinblick,70,0.0,0.0047,0.0038,0.0,0.0001,0.0004,0.0,0.0015,0.0108,0.0007
menschlich,70,0.0,0.0,0.0,0.0033,0.0001,0.0,0.0,0.0108,0.0075,0.0011
wahrheit,69,0.0,0.0004,0.0,0.0,0.0251,0.0052,0.0009,0.0,0.0,0.0
pflicht,68,0.0,0.0028,0.0,0.0149,0.0001,0.0,0.0035,0.0,0.0,0.0
reflexion,68,0.0082,0.0,0.0027,0.0029,0.0036,0.0,0.0007,0.0,0.001,0.0
sinn,67,0.0082,0.006,0.0,0.0026,0.0001,0.0,0.0,0.0,0.0,0.0
historisch,67,0.0057,0.0,0.0002,0.0153,0.0001,0.0,0.0,0.0,0.0,0.0001
denken,66,0.0,0.0017,0.0028,0.0061,0.0001,0.0,0.0,0.011,0.0,0.0
stellen,65,0.0,0.0099,0.0,0.0,0.0127,0.0,0.0012,0.0,0.0,0.0
inhalt,65,0.0018,0.0,0.0,0.0054,0.015,0.0045,0.0,0.0,0.0,0.0
rolle,64,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0022,0.0132
prüfen,64,0.0,0.0132,0.0,0.0007,0.0001,0.0,0.0032,0.0,0.0,0.0004
allgemein,63,0.0018,0.0,0.017,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
verstehen,63,0.0013,0.0,0.0103,0.0,0.0061,0.0,0.0018,0.0,0.0019,0.0
menschenrecht,63,0.0,0.0,0.0,0.0,0.0056,0.0159,0.0,0.0,0.0,0.0
wichtig,63,0.0029,0.0,0.0,0.0,0.0001,0.0,0.0134,0.0035,0.0007,0.0
miteinander,60,0.0,0.0021,0.0,0.003,0.0001,0.0,0.0106,0.0034,0.0,0.0006
rechtlich,60,0.003,0.0,0.0004,0.0,0.0001,0.0147,0.0,0.0,0.0,0.0
berücksichtigung,59,0.0009,0.0,0.0015,0.0,0.0001,0.0,0.0,0.0049,0.0124,0.0004
tier,59,0.0,0.0023,0.0,0.0,0.0025,0.0,0.0,0.0135,0.0,0.0011
