,text_excerpt,state,school type,grade,year,subject,doc_id
1007,"werden, ist von zunehmender Bedeutung. Die Oberschule bietet den Bewegungsaktivitäten der Schüler entsprechenden Raum. Ganztägige Bildung und Erziehung bietet vielfältige Möglichkeiten, auf Kinder und Jugendliche und deren Interessen, Begabungen und Bedürfnisse individuell einzugehen und die Persönlichkeitsentwicklung zu fördern. Die Oberschule entwickelt eigenverantwortlich und gemeinsam mit außerschulischen Partnern ein Ganztagskonzept als Teil des Schulprogrammes. Die Inhalte der Ganztagsangebote orientieren sich an den",Sachsen,Oberschule,,2019,Sozialkunde,1007
1008,"Verbänden und Vereinen einen wichtigen Beitrag zur ganzheitlichen Bildung leisten. Ganztagsangebote sollen schülerorientiert und bedarfsgerecht gestaltet werden. Sie berücksichtigen die Heterogenität der Schüler und knüpfen an deren individuelle Interessen und Bedürfnisse an. Für die Oberschule ist die Zusammenarbeit mit Unternehmen und Handwerksbetrieben der Region von besonderer Bedeutung. Kontakte zu anderen Schulen, Vereinen, Organisationen, Beratungsstellen geben neue Impulse und schaffen Partner für",Sachsen,Oberschule,,2019,Sozialkunde,1008
1009,"von Problemen. informatische Bildung Die Schüler erwerben Kenntnisse zum sicheren, sachgerechten, kritischen und verantwortungsvollen Umgang mit vielfältigen Medien. In der Auseinandersetzung mit Medien lernen sie, diese im Hinblick auf eigene Bedürfnisse und insbesondere zum selbstständigen Lernen, funktionsbezogen auszuwählen, zu nutzen und selbst herzustellen. Sie erkennen bei sich selbst und anderen, dass Medien sowie das eigene mediale Handeln Einfluss auf Vorstellungen, Gefühle",Sachsen,Oberschule,,2019,Sozialkunde,1009
1010,"zu einem Ereignis der deutschen Nachkriegsgeschichte erläuternd formulieren. Überfachliche Kompetenzen: in Partner- oder Gruppenarbeitsituationen kooperativ und produktiv mit anderen zusammen arbeiten und auch bei der Durchführung von Zeitzeugeninterviews die unterschiedlichen Bedürfnisse der Gesprächspartnerinnen und -partner wahrnehmen und achten, die Aufgaben für die Gruppenarbeitsphase selbstständig erschließen; u.a. anhand des Kompetenzrasters ihren Lernfortschritt reflektieren Lernkompetenz. Inhaltliche Konkretisierung: Alltagskulturen - Auswirkungen der politische Ereignisse",Hessen,,Sek1,2011,Geschichte,1010
1011,"werden, ist von zunehmender Bedeutung. Die Oberschule bietet den Bewegungsaktivitäten der Schüler entsprechenden Raum. Ganztägige Bildung und Erziehung bietet vielfältige Möglichkeiten, auf Kinder und Jugendliche und deren Interessen, Begabungen und Bedürfnisse individuell einzugehen und die Persönlichkeitsentwicklung zu fördern. Die Oberschule entwickelt eigenverantwortlich und gemeinsam mit außerschulischen Partnern ein Ganztagskonzept als Teil des Schulprogrammes. Die Inhalte der Ganztagsangebote orientieren sich an den",Sachsen,Oberschule,,2019,Sozialkunde,1011
1012,"Lebensformen BTV Personale und gesellschaftliche Vielfalt; Selbstfindung und Akzeptanz anderer Lebensformen Aufgaben der Familie nennen Erziehung, wirtschaftliche Funktion, Befriedigung emotionaler Bedürfnisse Aufgaben der Familie beschreiben Erziehung, wirtschaftliche Funktion, Befriedigung emotionaler Bedürfnisse Aufgaben der Familie erläutern Erziehung, wirtschaftliche Funktion, Befriedigung emotionaler Bedürfnisse ETH Identität, Individualität und Rolle VB Bedürfnisse und Wünsche; Finanzen und Vorsorge ETH Identität, Individualität und Rolle VB Bedürfnisse und",BaWü,,Sek1,2016,Sozialkunde,1012
1013,"Lebensformen Aufgaben der Familie nennen Erziehung, wirtschaftliche Funktion, Befriedigung emotionaler Bedürfnisse Aufgaben der Familie beschreiben Erziehung, wirtschaftliche Funktion, Befriedigung emotionaler Bedürfnisse Aufgaben der Familie erläutern Erziehung, wirtschaftliche Funktion, Befriedigung emotionaler Bedürfnisse ETH Identität, Individualität und Rolle VB Bedürfnisse und Wünsche; Finanzen und Vorsorge ETH Identität, Individualität und Rolle VB Bedürfnisse und Wünsche; Finanzen und Vorsorge ETH Identität, Individualität und Rolle VB",BaWü,,Sek1,2016,Sozialkunde,1013
1014,"Konsens gegeneinander abwägen. Diskurskompetenz Ethik Partnerorientiert diskutieren Klassenstufen und Die Schülerinnen und Schüler können Regeln einhalten, die die Gleichberechtigung von Dialogpartnern gewährleisten. Klassenstufen und Die Schülerinnen und Schüler können die Bedürfnisse und Intentionen der Dialogpartner erfassen und berücksichtigen. Klassenstufe und Die Schülerinnen und Schüler können den gleichberechtigten Einbezug der Dialogpartner in den Diskursprozess fördern. Konsensorientiert diskutieren Klassenstufen und Die Schülerinnen und",Saarland,GemS,,2018,"Ethik, Philo",1014
1015,"und Schemata zu politischen Sachverhalten zu analysieren. Entwickeln der gesellschaftlichen, politischen und ökonomischen Urteilsfähigkeit auf der Grundlage eigener begründeter, wertbezogener und rationaler Maßstäbe Die Schüler entwickeln Urteilsfähigkeit, indem sie ihre Bedürfnisse erkennen und die Möglichkeiten der Bedürfnisbefriedigung kritisch hinterfragen, sich mit Chancen und Gefahren im Umgang mit traditionellen und digitalen Medien auseinandersetzen. Entwickeln der Fähigkeit zur Toleranz im Rahmen der freiheitlichen",Sachsen,Gym,,2019,Sozialkunde,1015
1016,"nachhaltiges Leben bewusst werden, Möglichkeiten der Partizipation mithilfe traditioneller und digitaler Medien in ihrem Lebensumfeld nutzen. Lernbereich : Jugendliche als Marktteilnehmer Ustd. Kennen von wesentlichen Merkmalen wirtschaftlichen Denkens und Handelns Bedürfnisse Güter Funktionen des Geldes, Taschengeld Knappheit der Güter, Bedürfnisse vs. Bedarf Einblick gewinnen in ausgewählte Koordinierungs- und Lenkungsmechanismen des Marktes Angebot und Nachfrage Einfacher Wirtschaftskreislauf Interessen von Produzenten und Konsumenten",Sachsen,Gym,,2019,Sozialkunde,1016
