document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,5,0.9709660047525864,"Arbeiten, bereiten sich auf den Umgang mit vielschichtigen und vielgestaltigen Problemen und Themen vor und lernen, mit Phänomenen mehrperspektivisch umzugehen. Interdisziplinarität, Mehrperspektivität Die Schüler entwickeln die Fähigkeit zu Empathie und Perspektivwechsel und lernen, sich für die Rechte und Bedürfnisse anderer einzusetzen. Sie lernen unterschiedliche Positionen und Wertvorstellungen kennen und setzen sich mit ihnen auseinander, um sowohl eigene Positionen einzunehmen als auch",Sachsen,Gym,,2019.0,"Ethik, Philo"
1,2,0.9709659108105596,"sowohl eigene Positionen einzunehmen als auch anderen gegenüber Toleranz zu entwickeln. Sie entwickeln interkulturelle Kompetenz, um offen zu sein, sich mit anderen zu verständigen und angemessen zu handeln. Empathie und Perspektivwechsel Die Schüler entwickeln eigene Wertvorstellungen auf der Grundlage der freiheitlichen demokratischen Grundordnung, indem sie Werte im schulischen Alltag erleben, kritisch reflektieren und diskutieren. Dazu gehören insbesondere Erfahrungen der Toleranz, der",Sachsen,Gym,,2019.0,"Ethik, Philo"
2,1,0.40077466108294607,"menschlichen Daseins Liebe, Angst, Freude, Freiheit, Endlichkeit, Tod Erscheinungsformen und Deutungen geistige Fähigkeiten physische und psychische Voraussetzungen Erleben von Grenzsituationen Begriffsanalyse: Furcht, Angst Arbeit mit Bildern und Gedichten Empathie und Perspektivwechsel Sich positionieren zu zentralen Unterscheidungen Mensch und Tier Abgrenzung des Menschen vom Tier in natürlicher Gestalt, Beschaffenheit, Erkenntniskraft, Sprache und Denken biologische, evolutionäre Anthropologie und Hirnforschung Prometheusmythos Mensch als Mängelwesen",Sachsen,Gym,,2019.0,"Ethik, Philo"
3,5,0.661361190928466,"Wahlbereich : Theodizee Kennen des Theodizee-Problems gütiger, allmächtiger und allwissender Gott das Böse und Gott, die Freiheit und das Böse die Welt als beste aller möglichen Welten Podiumsdiskussion Empathie und Perspektivwechsel",Sachsen,Gym,,2019.0,"Ethik, Philo"
4,2,0.5754718637141184,"anderer vergleichen und dabei Vormeinungen, Gewohnheiten und Prägungen beispielsweise personal, sozial, kulturell, religiös, ethnisch, medial berücksichtigen und aufzeigen eigene Bedürfnisse, Interessen und Gefühle und die anderer erkennen und beschreiben durch Perspektivenwechsel und wechselseitigen Austausch mögliche Empfindungen und Sichtweisen Beteiligter oder Betroffener erfassen und benennen Phänomene, Situationen oder Sachverhalte und die zugrundeliegenden Werte und Normen benennen und differenziert darstellen in Situationen, Ereignissen",BaWü,Gym,,2016.0,"Ethik, Philo"
5,5,0.41098091089865063,"Fremdheit umzugehen. Entwickeln von ethischem Reflexions- und Urteilsvermögen Die Schüler entwickeln die Fähigkeit weiter, ihre Sinne bewusst einzusetzen und reflektieren ihre Bezüge zur Umwelt. Sie sind zunehmend in der Lage, Perspektivenwechsel vorzunehmen, um andere Menschen besser zu verstehen. Lernbereich : Wahrnehmung und Wahrheit Ustd. Kennen eigener Sinneswahrnehmungen Sehen, Hören, Riechen, Schmecken, Tasten Sinnestäuschungen, Relativität des ersten Eindruckes Wahrnehmung als individuelle Sinneseindrücke,",Sachsen,Oberschule,,2019.0,"Ethik, Philo"
6,2,0.5754718637141184,"anderer vergleichen und dabei Vormeinungen, Gewohnheiten und Prägungen beispielsweise personal, sozial, kulturell, religiös, ethnisch, medial berücksichtigen und aufzeigen eigene Bedürfnisse, Interessen und Gefühle und die anderer erkennen und beschreiben durch Perspektivenwechsel und wechselseitigen Austausch mögliche Empfindungen und Sichtweisen Beteiligter oder Betroffener erfassen und benennen Phänomene, Situationen oder Sachverhalte und die zugrundeliegenden Werte und Normen benennen und darstellen in Situationen, Ereignissen oder",BaWü,,Sek1,2016.0,"Ethik, Philo"
7,5,0.9709660047525864,"Arbeiten, bereiten sich auf den Umgang mit vielschichtigen und vielgestaltigen Problemen und Themen vor und lernen, mit Phänomenen mehrperspektivisch umzugehen. Interdisziplinarität, Mehrperspektivität Die Schüler entwickeln die Fähigkeit zu Empathie und Perspektivwechsel und lernen, sich für die Rechte und Bedürfnisse anderer einzusetzen. Sie lernen unterschiedliche Positionen und Wertvorstellungen kennen und setzen sich mit ihnen auseinander, um sowohl eigene Positionen einzunehmen als auch",Sachsen,Gym,,2019.0,"Ethik, Philo"
8,2,0.9709659108105596,"sowohl eigene Positionen einzunehmen als auch anderen gegenüber Toleranz zu entwickeln. Sie entwickeln interkulturelle Kompetenz, um offen zu sein, sich mit anderen zu verständigen und angemessen zu handeln. Empathie und Perspektivwechsel Die Schüler entwickeln eigene Wertvorstellungen auf der Grundlage der freiheitlichen demokratischen Grundordnung, indem sie Werte im schulischen Alltag erleben, kritisch reflektieren und diskutieren. Dazu gehören insbesondere Erfahrungen der Toleranz, der",Sachsen,Gym,,2019.0,"Ethik, Philo"
9,5,0.28126619352677823,"Lebenssituationen Ängste, Unsicherheiten, Resignation Fallstudie Übertragen auf den Umgang mit Misserfolgen anderer Tipps und Strategien für erfolgreiches Lernen Zuhören, Mutmachen, Helfen, Trösten Ratgeberseiten in einer Schülerzeitung szenisches Darstellen Empathie und Perspektivwechsel Wahlbereich : Demokratie in der Schule Gestalten eines demokratischen Entscheidungsprozesses Rechte und Pflichten der Schüler Schülermitwirkung und Schülervertretungen Inhalte und Verfahren der Demokratie Expertengespräch: Einladen eines Schülersprechers Podiumsdiskussion GE, Kl.",Sachsen,Gym,,2019.0,"Ethik, Philo"
10,5,0.42761409050168464,"Vorurteilen vom Vorurteil zum Urteil: das Fremde kennen lernen, Ängste überwinden und abbauen, den anderen verstehen lernen, das Neue in das Vertraute einbeziehen, Wissen Karikaturen, Comics und Geschichten Empathie und Perspektivwechsel Übertragen der Kenntnisse über Vorurteile auf das Beispiel der Judenverfolgung Der schwarze Tod, Ritualmordlegenden Vertreibung der Juden aus Europa Antijudaismus, Antisemitismus Massenmord an Juden: Shoa, Holocaust Rassismus Grundgesetz Artikel Richter:",Sachsen,Gym,,2019.0,"Ethik, Philo"
11,9,0.3968475423841755,"Kl. , LBW Werteorientierung Sich positionieren zum Umgang mit Menschen mit Wahrnehmungsstörungen Blindenschrift Gebärdensprache Fördermöglichkeiten Integration Fallbeispiele von Menschen mit Behinderungen in Kunst, Wissenschaft und Sport Expertengespräch Interview Empathie und Perspektivwechsel Wahlbereich : Glück Kennen verschiedener Glücksvorstellungen persönliches Glück soziales Glück materielles Glück Flüchtigkeit des Glücksempfindens eigener Anteil am Erreichen des Glücks Glück des anderen als eigenes Glück Philosophieren mit Märchen",Sachsen,Gym,,2019.0,"Ethik, Philo"
12,9,0.3184241124226398,"einer Nachricht Thomas Gordon: Du-Botschaften, Ich-Botschaften Watzlawick: Anleitung zum Unglücklichsein Pantomime Rollen- und Kommunikationsspiele Gestalten von Konfliktlösungen kreatives Schreiben Figurentheater RE/e, Kl. , LB RE/k, Kl. , LB Empathie und Perspektivwechsel Einblick gewinnen in den historischen Ursprung des Christentums Historische Situation der Juden zur Zeitenwende Jerusalem, Palästina Messiaserwartung Selbstverständnis des Christentums Verhältnis des Christentums zum Judentum GE, Kl. , LB Kennen",Sachsen,Gym,,2019.0,"Ethik, Philo"
13,9,0.5023846944294951,"Warum essen wir Fleisch, obwohl wir Tiere gern haben Zoos - sinnvolle Einrichtungen oder Tierquälerei Gedankenexperiment: Stell dir vor, es kämen Außerirdische und wollten uns als Nutztiere verwenden Empathie und Perspektivwechsel Bildung für nachhaltige Entwicklung Wahlbereich : Wege zur Identität Sich positionieren zum Verhalten Jugendlicher auf der Suche nach Identität den eigenen Stil finden: Jugendkulturen und -szenen Frisuren, Kleidung, Sprache, Tattoos,",Sachsen,Gym,,2019.0,"Ethik, Philo"
14,9,0.4596507563857766,Menschen in Armut und Reichtum Dimensionen der Globalisierung Armut und Reichtum als relative Begriffe Menschliche Armut im materiellen Überfluss Wege aus der Armut durch Bildung Möglichkeiten der Freizeitgestaltung Empathie und Perspektivwechsel Übertragen der Kenntnisse auf persönliche Einstellungen und Verhaltensweisen Übernahme von sozialer Verantwortung Notwendigkeit nachhaltigen Handelns Expertengespräch: Örtliche und internationale Hilfsorganisationen Verantwortungsbereitschaft Bildung für nachhaltige Entwicklung Wahlbereich : Ernährung und Persönlichkeit,Sachsen,Gym,,2019.0,"Ethik, Philo"
15,9,0.6890159207742321,"ethischer Forderungen des Buddhismus Laien- und Mönchsethik Beurteilen ausgewählter Aspekte europäischer Lebensweise aus buddhistischer Sicht Bequemlichkeit Hektik Individualitätswahn Ernährungsweise Stationenlernen RE/e, Kl. , LB RE/k, Kl. , LB Empathie und Perspektivwechsel Bildung für nachhaltige Entwicklung Lernbereich : Das Phänomen Liebe Ustd. Einblick gewinnen in Darstellungen der Liebe in der Kunst Abaelardus: Der Briefwechsel mit Heloisa Tullia dAragona: Über die Unendlichkeit der",Sachsen,Gym,,2019.0,"Ethik, Philo"
16,4,0.9727265151813332,"Dialog zwischen den Kulturen zählen dazu. Ein Austausch mit Gleichaltrigen zu fachlichen Themen unterstützt die Auseinandersetzung mit kultureller Vielfalt. Die damit verbundenen Lernprozesse zielen auf das gegenseitige Verstehen, auf bereichernde Perspektivwechsel, auf die Reflexion der eigenen Wahrnehmung und einen toleranten Umgang miteinander ab. Fast alle Unterrichtsinhalte sind geeignet, sie als Gegenstand für bi- oder multilaterale Projekte, Schüleraustausche oder auch virtuelle grenzüberschreitende",MeckPomm,Gym,Sek2,2019.0,"Ethik, Philo"
17,1,0.7607120587300295,"Handlungen analysieren Textstrukturen analysieren, dabei auf Brüche, Lücken und Ränder achten flexion Sprachgebrauch reflektieren und überprüfen Sprachliches Handeln im Kontext der Lebenswelt rekonstruieren Eigene Wahrnehmungen und subjektive Erfahrungen reflektieren Durch Perspektivenwechsel einen übergreifenden Zusammenhang finden Das Vorverständnis und Leseverständnis reflektieren Die Eigenart von Texten begreifen lernen ahrnehmung Die Sprache von Beobachtungssätzen analysieren Die impliziten Regeln im Handeln und Sprechen erschließen Lebenswelt",MeckPomm,Gym,Sek2,2019.0,"Ethik, Philo"
18,10,0.9357119792552598,"dem Menschen, der sie gerne wären. Einsicht allein führt aber häufig noch nicht zu dem entsprechenden Handeln. So ist auch die Motivation zu werteinsichtigem Handeln zu stärken, z. B. durch Perspektivwechsel und insbesondere das Einfühlen in die Situation anderer. Schließlich werden die Schülerinnen und Schüler auch in der Lage sein müssen, die Handlung adäquat durchzuführen, die sie für sich als richtig",Bayern,Gym,13,,"Ethik, Philo"
19,5,0.943745275095408,"umfasst die verschiedenen Fähigkeiten der Schülerin und des Schülers, seinen Mitmenschen mit seinen Bedürfnissen bewusst wahrnehmen und darauf angemessen reagieren zu können. In diesem Zusammenhang spielt die Einübung in den Perspektivenwechsel eine wichtige Rolle. Die Schülerinnen und Schüler sollen nicht nur die eigene Position bezüglich eines Themas formulieren können, sondern sich auch die emotionalen Konsequenzen für eine fremde handelnde Person vorstellen",Bayern,Gym,13,,"Ethik, Philo"
20,10,0.9357119792552598,"dem Menschen, der sie gerne wären. Einsicht allein führt aber häufig noch nicht zu dem entsprechenden Handeln. So ist auch die Motivation zu werteinsichtigem Handeln zu stärken, z. B. durch Perspektivwechsel und insbesondere das Einfühlen in die Situation anderer. Schließlich werden die Schülerinnen und Schüler auch in der Lage sein müssen, die Handlung adäquat durchzuführen, die sie für sich als richtig",Bayern,Gym,12,,"Ethik, Philo"
21,5,0.943745275095408,"umfasst die verschiedenen Fähigkeiten der Schülerin und des Schülers, seinen Mitmenschen mit seinen Bedürfnissen bewusst wahrnehmen und darauf angemessen reagieren zu können. In diesem Zusammenhang spielt die Einübung in den Perspektivenwechsel eine wichtige Rolle. Die Schülerinnen und Schüler sollen nicht nur die eigene Position bezüglich eines Themas formulieren können, sondern sich auch die emotionalen Konsequenzen für eine fremde handelnde Person vorstellen",Bayern,Gym,12,,"Ethik, Philo"
22,6,0.9709668120250627,"politische, gesellschaftliche, kulturelle und wirtschaftliche Internationalisierung und die größer gewordene kulturelle Vielfalt. Diese Entwicklung fordert und fördert eine verstärkte Verfügbarkeit von interkulturellen Kompetenzen bei Schülerinnen und Schülern, insbesondere durch regelmäßige Perspektivwechsel im Unterricht. Die Lehrpläne für die Gemeinschaftsschule sollen in diesem Sinne dazu beitragen, dass der dem Konzept der Gemeinschaftsschule innewohnende und in der Verordnung über den Bildungsgang und die Abschlüsse",Saarland,GemS,,2018.0,"Ethik, Philo"
23,10,0.9357119792552598,"dem Menschen, der sie gerne wären. Einsicht allein führt aber häufig noch nicht zu dem entsprechenden Handeln. So ist auch die Motivation zu werteinsichtigem Handeln zu stärken, z. B. durch Perspektivwechsel und insbesondere das Einfühlen in die Situation anderer. Schließlich werden die Schülerinnen und Schüler auch in der Lage sein müssen, die Handlung adäquat durchzuführen, die sie für sich als richtig",Bayern,Gym,,,"Ethik, Philo"
24,5,0.943745275095408,"umfasst die verschiedenen Fähigkeiten der Schülerin und des Schülers, seinen Mitmenschen mit seinen Bedürfnissen bewusst wahrnehmen und darauf angemessen reagieren zu können. In diesem Zusammenhang spielt die Einübung in den Perspektivenwechsel eine wichtige Rolle. Die Schülerinnen und Schüler sollen nicht nur die eigene Position bezüglich eines Themas formulieren können, sondern sich auch die emotionalen Konsequenzen für eine fremde handelnde Person vorstellen",Bayern,Gym,,,"Ethik, Philo"
25,1,0.935701593802136,"Bereiche der Lebenswirklichkeit, z. B. Wahrnehmungsspiele Problem der selektiven Wahrnehmung, Sinnestäuschungen Faktoren, die die Wahrnehmung beeinflussen, z. B. Vorwissen, Interessen, Erfahrungen, Einstellungen, Gewohnheiten, Vorurteile, Alter oder Stimmungen Einsatz vielfältiger Sinne, Perspektivwechsel, Offenheit, Neugier, begründete Urteilsfindung Fremd- und Selbstwahrnehmung Feedbackregeln Lernbereich : Leben in der Familie ca. Std. Erlebenswelt von z. B. blinden, gehörlosen oder alten Menschen: Schwierigkeiten im Alltag, z. B.",Bayern,Realschule,,2023.0,"Ethik, Philo"
26,1,0.7440399234257582,"andere Sozialformen, z. B. Liebesbeziehung, Clique ethische Anforderungen, z. B. Vertrauenswürdigkeit, Ehrlichkeit, Hilfsbereitschaft, Verlässlichkeit ethische Grundsätze z. B. Goldene Regel und Handlungs- bzw. Kommunikationsstrategien, z. B. Ich-Botschaften mit altersgemäßen Begründungen, Perspektivwechsel Konflikte in Freundschaften, einfache Dilemmasituationen literarische Texte zum Thema Freundschaft Kompetenzerwartungen Die Schülerinnen und Schüler ... begründen ihre persönlichen Präferenzen in der Freizeitgestaltung. schätzen die Freizeit als wertvolle Möglichkeit der",Bayern,Realschule,,2023.0,"Ethik, Philo"
27,9,0.7506371910590562,"Inhalte zu den Kompetenzen: Formen von Hilfsbedürftigkeit; Möglichkeiten und Grenzen, zu helfen; Situationen, in denen Hilfe benötigt wird; Beweggründe für Hilfeleistung, z. B. Wohltätigkeit, Altruismus, Nächstenliebe Begriffe Tugend Empathie, sozial Perspektivwechsel Vorbilder, z. B. Mutter Teresa, H. Gmeiner, aktuelle Idole, sozial engagierte Menschen im persönlichen Umfeld Möglichkeiten sozialen Engagements: z. B. Hilfe für Schüler z. B. Tutoren, Lesepaten, Streitschlichter, Juniorhelfer im",Bayern,Realschule,,2023.0,"Ethik, Philo"
28,8,0.9699991868716011,"sie sich mit den dort aufgeführten Inhalten in der Fremdsprache auseinandersetzen. Kompetenzerwartungen Die Schülerinnen und Schüler ... setzen die englische Sprache als Mittel zur authentischen Kommunikation ein und nehmen einen Perspektivenwechsel vor, indem sie die Fremdsprache als Spiegel kultureller Besonderheiten und Unterschiede begreifen. setzen fachspezifisches Vokabular gezielt und reflektiert ein und hinterfragen sprachliche Phänomene kritisch. vertiefen die oben genannten Fähigkeiten und",Bayern,Realschule,,2023.0,"Ethik, Philo"
29,8,0.9699991868716011,"sie sich mit den dort aufgeführten Inhalten in der Fremdsprache auseinandersetzen. Kompetenzerwartungen Die Schülerinnen und Schüler ... setzen die englische Sprache als Mittel zur authentischen Kommunikation ein und nehmen einen Perspektivenwechsel vor, indem sie die Fremdsprache als Spiegel kultureller Besonderheiten und Unterschiede begreifen. setzen fachspezifisches Vokabular gezielt und reflektiert ein und hinterfragen sprachliche Phänomene kritisch. vertiefen die oben genannten Fähigkeiten und",Bayern,Realschule,,2023.0,"Ethik, Philo"
30,8,0.9699991868716011,"sie sich mit den dort aufgeführten Inhalten in der Fremdsprache auseinandersetzen. Kompetenzerwartungen Die Schülerinnen und Schüler ... setzen die englische Sprache als Mittel zur authentischen Kommunikation ein und nehmen einen Perspektivenwechsel vor, indem sie die Fremdsprache als Spiegel kultureller Besonderheiten und Unterschiede begreifen. setzen fachspezifisches Vokabular gezielt und reflektiert ein und hinterfragen sprachliche Phänomene kritisch. vertiefen die oben genannten Fähigkeiten und",Bayern,Realschule,,2023.0,"Ethik, Philo"
31,8,0.9699991868716011,"sie sich mit den dort aufgeführten Inhalten in der Fremdsprache auseinandersetzen. Kompetenzerwartungen Die Schülerinnen und Schüler ... setzen die englische Sprache als Mittel zur authentischen Kommunikation ein und nehmen einen Perspektivenwechsel vor, indem sie die Fremdsprache als Spiegel kultureller Besonderheiten und Unterschiede begreifen. setzen fachspezifisches Vokabular gezielt und reflektiert ein und hinterfragen sprachliche Phänomene kritisch. vertiefen die oben genannten Fähigkeiten und",Bayern,Realschule,,2023.0,"Ethik, Philo"
32,4,0.9608682959532399,"Zugänge zu ihr zu beschreiben und die jeweiligen Beziehungen zu reflektieren. Daraus leitet sich die Aufgabe des gesellschaftswissenschaftlichen Unterrichts ab, den Schüler zunehmend zum vernetzten Denken zu befähigen und zum Perspektivwechsel anzuregen. Vgl. Leitgedanken zu den Thüringer Lehrplänen für den Erwerb der allgemein bildenden Schulabschlüsse, Kapitel Überzeugungen und Zugehörigkeiten zu verstehen und zu tolerieren. Der Unterricht zielt gleichermaßen auf den Erwerb",Thüringen,Gym,,2012.0,"Ethik, Philo"
33,1,0.8266544060989568,"Gegenüberstellen und Prüfen von Lösungsansätzen, - Reflexion und Begründung der eigenen Position. Diese Kompetenz kann insbesondere durch folgende Schülertätigkeiten entwickelt werden: - reflektieren, - argumentieren, - eigene Position begründen, - Perspektivwechsel vornehmen, - einen Sokratischen Dialog führen, - in einer Debatte auch eine fremde Position vertreten, - einen philosophischen Diskurs führen, Die Kompetenz im Bereich Entscheiden und Handeln bedeutet, Einsichten in",Thüringen,Gym,,2012.0,"Ethik, Philo"
