Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
bildung,beispiel,sozial,leben,verschieden,politisch,europa
vielfalt,umgang,religion,mitin,kulturell,mensch,europäisch
thema,spiel,kompetenz,kulturell,historisch,gesellschaft,mittelalter
kompetenz,religion,gesellschaftlich,sozial,beurteilen,geschichte,herrschaft
sport,entwicklung,zusammenleben,demokratisch,gemeinsamkeit,historisch,revolution
lernen,gesellschaft,unterschiedlich,welt,bildung,entwicklung,republik
religionsunterricht,historisch,verschieden,mensch,unterschied,natur,antik
wissenschaft,darstellung,möglichkeit,lernende,entwickeln,perspektive,aspekt
interkulturell,toleranz,handeln,kommunikation,wissenschaft,wirtschaft,römisch
deutsch,individuell,welt,gestaltung,fremd,umwelt,geschichte
erwerb,deutung,identität,nehmen,bewerten,unterschiedlich,islam
englisch,lebenswelt,frage,ziel,religion,politik,weimarer
inklusion,quelle,entwicklung,ethik,begründen,dimension,gesellschaft
wert,griechisch,vielfalt,prägung,prägen,leben,bezug
kulturell,voraussetzung,auseinandersetzung,handlung,leistungseinschätzung,thema,antike
demokratie,poli,mensch,wert,reflektieren,technik,welt
jugend,lebensform,religiös,bild,analyse,bildung,religion
globalisierung,gesellschaftlich,leben,stärkung,grundsatz,bereich,reich
musik,bedeutung,ethisch,engagement,gegenwart,menschlich,neuzeit
lehrplan,akzeptanz,entwickeln,methodischdidaktisch,kompetenz,demokratisch,inhalt
