Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
dna,merkmal,beratung,verbindlich,ebene,vererbung,entwicklung
information,rezessiv,gentest,inhalt,verfahren,mensch,evolution
replikation,dna,mensch,biologie,organismus,regel,fortpflanzung
bedeutung,chromosomen,risiko,themenfeld,variabilität,bedeutung,evolutiv
merkmal,mutation,gentherapie,basisbegriff,gentechnik,anwenden,selektion
code,wahlbereich,möglichkeit,modell,biodiversität,phänotyp,variation
regulation,dominant,ethisch,kommunikation,struktur,variabilität,rekombination
bau,veränderung,erkrankung,verändern,bedeutung,meiose,basiskonzept
transkription,funktion,grenze,erkenntnisgewinnung,funktion,erbgänge,lebewesen
proteinbiosynthese,basiskonzept,entwicklung,code,molekular,mendelsch,führen
translation,allel,verfahren,leben,gentechnisch,protein,individuell
genaktivität,evolution,kommunikation,mutationen,anregung,information,variabilität
realisierung,zusammenhang,gesellschaftlich,unterschiedlich,anwendung,anwendung,wichtig
struktur,lernbereich,bedingt,veränderung,methode,mutation,ursache
zellzyklus,allele,wert,historisch,vielfalt,klassisch,material
semikonservativ,tier,somatisch,chv,erkenntnis,kenntnis,system
funktion,chromosomenverteilung,gelelektrophorese,stoffwechsel,folge,merkmal,biologie
inhalt,entwicklung,molekular,folge,ursache,modifikation,information
weitergabe,meiose,chance,mutatio,leben,krankheit,weitergabe
prinzip,enzyme,vererbung,führen,merkmal,medium,ökologie
