term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
klischee,126,0.0003,0.0631,0.0049,0.0483,0.0474,0.0048,0.0003,0.0001,0.0121,0.0028
form,102,0.0003,0.0727,0.0087,0.0141,0.0448,0.0002,0.0067,0.0022,0.0089,0.0032
mensch,80,0.0003,0.0002,0.0003,0.0002,0.0278,0.0324,0.0077,0.0001,0.0569,0.0105
stereotyp,75,0.0003,0.0508,0.0002,0.0002,0.0398,0.0002,0.0003,0.0253,0.0136,0.0002
sozial,68,0.0444,0.0001,0.0154,0.0143,0.0001,0.0002,0.0004,0.0009,0.005,0.0407
toleranz,67,0.0003,0.0111,0.0132,0.0002,0.0383,0.0002,0.0003,0.0001,0.0081,0.0002
ursache,66,0.0003,0.0002,0.0002,0.0114,0.0001,0.0002,0.0194,0.0128,0.0066,0.0329
wahrnehmung,62,0.0763,0.0002,0.0003,0.0002,0.0001,0.0086,0.0003,0.0001,0.0002,0.0164
folge,55,0.0003,0.0002,0.0083,0.0278,0.0001,0.0002,0.023,0.0052,0.0002,0.0213
urteil,54,0.011,0.0002,0.0002,0.0002,0.0055,0.0375,0.0003,0.0001,0.0002,0.0258
möglichkeit,52,0.0003,0.0002,0.0179,0.0145,0.0018,0.0081,0.0003,0.0001,0.0215,0.0086
kritisch,48,0.0059,0.0002,0.0019,0.0002,0.0128,0.0359,0.0004,0.0001,0.0025,0.0034
medium,46,0.0003,0.0002,0.0226,0.0158,0.0185,0.0034,0.0003,0.0001,0.0002,0.0188
unterschiedlich,46,0.0026,0.0024,0.0141,0.0221,0.0056,0.0002,0.0004,0.0177,0.0002,0.0002
prüfen,40,0.0003,0.0002,0.0002,0.0094,0.0174,0.0109,0.0045,0.0001,0.0002,0.0002
historisch,39,0.0007,0.0012,0.0124,0.0002,0.0001,0.0334,0.0004,0.0119,0.0002,0.0002
