Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
lernen,lernen,kulturell,fähigkeit,position,politisch,entwickeln
politisch,entwickeln,aufgabe,inhalt,urteil,sinn,fachlich
kompetenzbereiche,unterschiedlich,betrachten,welt,vollziehen,sozial,miteinander
fremdsprachlich,fähigkeit,global,setzen,vertreten,kulturell,verstehen
interesse,empathie,inhaltlich,handeln,verschieden,möglichkeit,reflexion
politik,position,historisch,nehmen,wissen,vertreten,dialog
verknüpfen,umgang,bne,begreifen,sichtweise,formulieren,toleranz
unterschiedlich,vorstellung,verstehen,sprache,finden,gestaltung,demokratisch
kontext,arbeit,sozial,fremdsprache,kontroverse,einflussnahme,vielfalt
mensch,politisch,denken,phänomen,stehen,handlungsalternative,position
verständigung,wertvorstellung,vernetzt,mensch,sozial,berücksichtigung,auseinandersetzung
material,problem,entwicklung,kommunikation,politisch,differenz,wahrnehmung
bedienen,methode,norm,sprachlich,begründen,konflikt,naturwissenschaftlich
land,vornehmen,zunehmend,hinterfragen,argumentieren,mensch,umgang
sprachraum,sozialkompetenz,wert,globalisiert,beitrag,auseinandersetzen,projekt
abb,einsetzen,prägung,kritisch,gesellschaft,berücksichtigen,unterstützen
bilingualer,umzugeh,lernen,wahrnehmung,voraussetzung,gruppenarbeit,kultur
deutungsmustern,phänomen,überzeugung,überprüfen,grundlegend,geschlechtsspezifisch,kulturell
bereiten,interdisziplinarität,beziehung,englisch,reflektiert,verschieden,multilateral
nichtdeutsch,bedürfnis,tolerieren,vertiefen,wesentlich,empathie,austausch
