Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
verantwortung,entwickeln,bne,ethisch,motiv,politisch,wert
mensch,historisch,verantwortung,situation,begriff,wirtschaftlich,welt
freiheit,entscheidung,form,folge,naturwissenschaftlich,ökonomisch,mensch
denken,lernen,pflicht,relevanz,frage,sozial,leben
menschlich,fähigkeit,natur,lernbereich,moralisch,gesellschaftlich,norm
entscheidung,treffen,staat,perspektive,ethikunterricht,entwicklung,medium
bedingung,vertreten,umwelt,relevant,religiös,nachhaltig,gerechtigkeit
möglichkeit,gegenwart,mensch,motiv,ethisch,gesellschaft,bedeutung
stehen,geschichte,jugendliche,moralisch,wesentlich,politik,medial
ethisch,unterschiedlich,welt,fremd,einfach,individuell,information
gewissen,denken,kriterium,wissen,zentral,wirtschaft,regel
grenze,begründen,aufgabe,inhaltsfelder,geschichte,demokratisch,kultur
marktwirtschaft,kritisch,folge,entscheidung,biologie,prozeß,umgang
inhaltsfeld,bereich,europäisch,ebene,antrieb,akteur,menschenrecht
erkenntnis,verschieden,bürger,entwickeln,regel,interesse,konflikt
inhalt,selbstständig,eth,dimension,ziel,ziel,verantwortung
hinblick,berücksichtigung,erschließen,prüfen,standard,global,sinn
individuum,führen,geo,form,themenfeld,ökologisch,frage
moralisch,urteil,rechtlich,ethik,ethik,zusammenhang,natur
frage,meinung,wertorientiertes,leben,untersuchung,international,wandel
