Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
dna,merkmal,mensch,inhalt,mensch,variabilität,entwicklung,verfahren,mensch,vererbung,funktion,evolution
information,rezessiv,risiko,verbindlich,regel,phänotyp,fortpflanzung,gentechnik,biodiversität,veränderung,ebene,ökologie
bedeutung,dominant,beitrag,biologie,erbgänge,erbanlage,evolutiv,anwendung,ebene,mutation,struktur,biologie
replikation,genprodukt,bieten,basisbegriff,vererbung,genotyp,selektion,organismus,ökologisch,entwicklung,gentest,stoff
merkmal,organismus,erfassen,modell,mendelsch,prozeß,rekombination,gentechnisch,vielfalt,vielfalt,beratung,kommunikation
proteinbiosynthese,cod,eukaryotisch,leben,bedeutung,organismus,variation,verändert,ökosystem,merkmal,erkrankung,erkenntnisgewinnung
regulation,zusammenhang,konzept,themenfeld,begriff,allel,lebewesen,gelelektrophorese,systemeben,folge,möglichkeit,wahlbereich
transkription,aminosäuresequenz,leitperspektive,code,protein,merkmal,individuell,transgen,evolutionstheorie,mutatio,entwicklung,zelle
genaktivität,code,aussage,verändern,allel,zellulär,basiskonzept,umwelt,artenvielfalt,basiskonzept,bedingt,energieumwandlung
realisierung,genwirkkette,setzen,unterschiedlich,geschlecht,verwandtschaft,führen,pcr,gesellschaftlich,mutagen,grenze,biomoleküle
bau,basensequenz,evolutionsökologie,führen,rezessiv,dna,variabilität,anregung,entwicklung,meiose,zusammenhang,klasse
struktur,enzyme,beeinflussen,verfahren,sozial,homolog,material,molekulargenetik,synthetisch,mutationen,zelle,neurobiologie
code,wiederholung,gott,historisch,anwenden,art,evolution,werkzeug,entwickeln,organismus,molekular,molekular
mitose,hilfe,test,fingerabdruck,phänotyp,chromosome,wichtig,erkenntnis,biologisch,information,gentherapie,stoffwechsel
erbinformation,genbegriff,helfen,klassisch,ethisch,zellker,ursache,bakterie,geschichte,chromosomen,familienstammbäum,leben
translation,evolution,aspekt,genetischchronologisch,klassisch,molekular,information,medizin,fragestellung,bedingt,menschlich,zellbiologie
funktion,erklärung,prädisposition,fall,mutation,bilden,weitergabe,unterschiedlich,bedeutung,trisomie,basiskonzept,prozent
semikonservativ,aminosäure,einblick,enzyme,modifikation,geben,erhöhen,restriktionsenzyme,stellen,struktur,forschung,lernbereich
zellzyklus,bezug,individuell,eingreifen,erbgang,information,entstehung,nutzung,molekular,chromosomenverteilung,ethisch,themenfelder
protein,eigenschaft,ethisch,querschnitt,autosomal,begründen,system,politisch,erkenntnis,leben,fortpflanzung,energie
