Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
bildung,beitrag,inklusion,vielfalt,historisch,mensch,religion,islam,sozial,politisch
wissenschaft,demokratisch,individuell,interkulturell,entwicklung,leben,verschieden,beschreiben,welt,europäisch
sport,bezug,lernen,leben,verschieden,natur,frage,islamisch,bildung,herrschaft
religionsunterricht,sozial,demokratie,kulturell,erkennen,kulturell,zusammenleben,wissenschaft,gesellschaftlich,europa
deutsch,beurteilen,diversität,mitin,gesellschaft,gesellschaft,unterschiedlich,mittelalter,perspektive,gesellschaft
englisch,erziehung,entwicklung,wert,politik,welt,kompetenz,umgang,bereich,geschichte
jugend,historisch,religiös,zielen,darstellung,geschichte,leben,modern,entwicklung,demokratie
thema,ziel,lebensverhältnis,bildung,geschichte,thema,religiös,welt,umwelt,antik
musik,gesellschaft,menschenrecht,erbe,wirtschaft,technik,beschreiben,allgemein,medium,republik
fach,friedlich,governance,sozial,unterschiedlich,ethik,weltanschauung,fenster,politisch,antike
latein,arbeit,grundlage,kompetenz,vergangenheit,kompetenz,wertvorstellung,kulturkreis,unterschiedlich,revolution
erwerb,inhalt,fähigkeit,beschäftigung,fach,begriff,möglichkeit,neuzeit,sprache,griechisch
lehrplan,gegenwart,orientierung,demokratie,gegenwart,verschieden,mensch,entstehung,kulturell,wirtschaft
katholisch,leben,schaffen,lernprozesse,zusammenhang,bedeutung,handeln,lebensform,kunst,römisch
leistungseinschätzung,aspekt,voraussetzung,ziel,prägen,spiel,grundlegend,früh,globalisierung,weimarer
lernen,zusammenhang,information,theorie,entwickeln,menschlich,geprägt,gesellschaft,handeln,aspekt
kunst,übergreifend,identität,thema,quelle,chance,weltbilder,christlich,beziehen,dimension
französisch,wesentlich,aufbau,jahrhundert,religion,gesellschaftlich,bild,form,wirtschaft,deutschland
bezug,leitperspektive,good,verbinden,erklären,inhaltsbezogen,individuum,schriftlich,digital,mensch
spanisch,unterricht,auseinandersetzung,verstehen,unterschied,handeln,menschenrecht,ddr,gesundheit,kulturell
